"","fndRow","",""
"SL18-LD-1-FG2",94,9,NA
"SL18-SF-17-FG1",95,53,NA
"SL18-SF-17-FG3",96,53,NA
"SA18-CB-10-FG2",97,48,NA
"SL18-LD-1-FG3",98,9,NA
"SA18-CB-4-FG3",99,54,NA
"SL18-LD-2-FG2",100,55,NA
"SL18-LD-3-FG1",101,10,NA
"SL18-LD-3-FG2",102,10,NA
"SL18-LD-4-FG1",103,11,NA
"SL18-LD-4-FG2",104,11,NA
"SL18-LD-4-FG3",105,11,NA
"SL18-LD-5-FG1",106,12,NA
"SA18-CB-7-FG1",107,56,NA
"SL18-LD-9-FG2",108,13,NA
"SL18-LD-9-FG3",109,13,NA
"SL18-LL-9-FG3",110,57,NA
"SL18-NL-10-FG1",111,44,NA
"SL18-NL-10-FG3",112,44,NA
"SL18-NL-2-FG1",113,38,NA
"SL18-NL-2-FG3",114,38,NA
"SL18-NL-3-FG1",115,39,NA
"SL18-NL-3-FG2",116,39,NA
"SL18-NL-3-FG3",117,39,NA
"SL18-OI-11-FG3",118,4,NA
"SL18-JS-16-FG3",119,46,NA
"SL18-OI-5-FG5",120,2,NA
"SL18-CC-1-FG2",121,16,NA
"SL18-NC-11-FG1",122,58,NA
"SL18-CC-5-FG2",123,20,NA
"SL18-CC-5-FG3",124,20,NA
"SL18-CC-11-FG3",125,26,NA
"SL18-JS-16-FG1",126,46,NA
"SL18-NC-12-FG2",127,37,NA
"SL18-OD-5-FG1",128,59,NA
"SL18-CC-1-FG3",129,16,NA
"SA18-CB-9-FG1",130,60,NA
"SL18-CC-5-FG1",131,20,NA
"SL18-CC-12-FG3",132,27,NA
"SL18-SF-17-FG2",133,53,NA
"SL18-JS-5-FG1",134,32,NA
"SL18-OD-5-FG3",135,59,NA
"SL18-LL-9-FG6",136,57,NA
"SL18-OI-15-FG2",137,5,NA
"SA18-CB-2-FG3",138,61,NA
"SA18-CB-5-FG4",139,62,NA
"SL18-CC-3-FG1",140,18,NA
"SL18-NC-10-FG1",141,35,NA
"SL18-OI-17-FG4",142,7,NA
"SL18-CC-3-FG2",143,18,NA
"SL18-CC-1-FG1",144,16,NA
"SL18-OI-4-FG2",145,1,NA
"SL18-CC-8-FG2",146,23,NA
"SL18-OI-6-FG2",147,3,NA
"SL18-CC-12-FG2",148,27,NA
"SL18-NC-10-FG3",149,35,NA
"SL18-OI-6-FG3",150,3,NA
"SL18-CC-8-FG1",151,23,NA
"SL18-CC-9-FG3",152,24,NA
"SL18-NC-9-FG2",153,36,NA
"SL18-LD-9-FG4",154,13,NA
"SL18-OI-9-FG4",155,51,NA
"SL18-NC-5-FG2",156,30,NA
"SL18-CC-6-FG3",157,21,NA
"SL18-NL-7-FG4",158,41,NA
"SL18-CC-3-FG3",159,18,NA
"SL18-CC-6-FG2",160,21,NA
"SL18-JS-19-FG3",161,45,NA
"SL18-NC-1-FG1",162,29,NA
"SL18-NC-15-FG3",163,63,NA
"SL18-LL-9-FG2",164,57,NA
"SA18-CB-4-FG6",165,54,NA
"SA18-CB-5-FG6",166,62,NA
"SL18-JS-9-FG3",167,33,NA
"SL18-SF-13-FG2",168,52,NA
"SL18-JS-19-FG2",169,45,NA
"SL18-CC-6-FG1",170,21,NA
"SL18-NL-5-FG1",171,40,NA
"SL18-NC-8-FG1",172,34,NA
"SL18-JS-5-FG2",173,32,NA
"SL18-CC-10-FG4",174,25,NA
"SL18-NC-5-FG3",175,30,NA
"SL18-OI-16-FG2",176,6,NA
"SL18-SF-19-MG2",177,64,NA
"SL18-OI-4-MG1",178,1,NA
"SL18-OI-11-MG2",179,4,NA
"SL18-OI-14-MG2",180,65,NA
"SL18-OI-15-MG1",181,5,NA
"SL18-OI-16-MG1",182,6,NA
"SL18-SF-17-MG1",183,53,NA
"SA18-CB-7-MG2",184,56,NA
"SL18-NL-3-MG2",185,39,NA
"SA18-CB-7-MG1",186,56,NA
"SL18-SF-19-MG1",187,64,NA
"SL18-SF-15-MG2",188,66,NA
"SA18-CB-2-MG3",189,61,NA
"SL18-NL-5-MG1",190,40,NA
"SL18-SF-15-MG1",191,66,NA
"SA18-CB-4-MG3",192,54,NA
"SA18-CB-5-MG3",193,62,NA
"SL18-LD-13-MG2",194,15,NA
"SL18-LD-3-MG2",195,10,NA
"SL18-NL-6-MG1",196,42,NA
"SL18-SF-17-MG2",197,53,NA
"SL18-SF-13-MG2",198,52,NA
"SL18-OI-9-MG3",199,51,NA
"SL18-LD-10-MG1",200,14,NA
"SL18-LD-9-MG1",201,13,NA
"SL18-NL-2-MG2",202,38,NA
"SL18-LD-2-MG3",203,55,NA
"SL18-LL-9-MG1",204,57,NA
"SL18-OI-7-MG1",205,50,NA
"SL18-LD-2-MG1",206,55,NA
"SA18-CB-1-MG2",207,67,NA
"SL18-LD-1-MG2",208,9,NA
"SL18-NL-9-MG1",209,43,NA
"SA18-CB-2-MG1",210,61,NA
"SA18-CB-4-MG1",211,54,NA
