,wetWgtPerM,percDryWgt,dryWgtPerM,densityBlades,Year.x,plotNo.x,Crosses.x,bladeLength,bladeMaxWidth,bladeThickness,stipeLength,stipeDiameter,Year.y,plotNo.y,Crosses.y,Order
2020_25,-0.953672814,-1.08434755,-0.134338673,-70.83286155,2019,2020_25,SL18-CC-5-FG3xSA18-CB-1-MG12,9.187965847,-5.207494946,0.028046642,-4.562965979,-0.641851035,2019,2020_25,SL18-CC-5-FG3xSA18-CB-1-MG12,
2020_78,-0.44618657,-3.269054583,-0.135600955,-58.14603775,2019,2020_78,SL18-NL-3-FG1xSL18-OI-7-MG3,-28.40782183,-5.062843409,-0.053597945,-1.001235933,-0.324712608,2020,2020_78,SL18-NL-3-FG1xSL18-OI-7-MG3,
2019_51,-1.772036374,0.083220321,-0.135819666,-219.5999727,2019,2019_51,SL18-LD-9-FG2xSL18-SF-13-MG3,-14.4243302,4.704946153,-0.069782321,-4.303923231,-0.112708597,2019,2019_51,SL18-LD-9-FG2xSL18-SF-13-MG3,
2019_177,-1.48498847,0.559298699,-0.135965862,-95.88637723,2019,2019_177,SL18-OI-6-FG1xSL18-LD-2-MG1,-4.800627363,3.150426837,-0.131158514,-0.280150229,-0.266968512,2019,2019_177,SL18-OI-6-FG1xSL18-LD-2-MG1,
2019_100,-1.81103292,0.894306085,-0.137453213,NA,2019,2019_100,SL18-NL-6-FG1xSL18-OI-11-MG2,14.69524652,2.841316115,0.173414478,-4.296452222,0.223646536,2020,2019_100,SL18-NL-6-FG1xSL18-OI-11-MG2,
2019_30,-1.742977342,1.74705216,-0.137453213,-201.1181049,2019,2019_30,SL18-LD-1-FG3xSL18-NL-9-MG2,-21.6118504,3.962576063,-0.095943956,-3.144382227,0.316718582,2019,2019_30,SL18-LD-1-FG3xSL18-NL-9-MG2,
2019_25,-1.269242323,-1.750663246,-0.13873549,18.87055046,2019,2019_25,SL18-LD-1-FG3xSL18-OI-15-MG1,-12.10174301,-0.433402125,-0.10812552,5.932502759,0.028579798,2019,2019_25,SL18-LD-1-FG3xSL18-OI-15-MG1,
2020_26,-0.933282781,-1.561904277,-0.141930058,-9.144388878,2019,2020_26,SL18-CC-6-FG2xSL18-OI-14-MG1,-11.02660529,1.233059989,0.016414344,-0.132000344,0.710942473,2019,2020_26,SL18-CC-6-FG2xSL18-OI-14-MG1,
2020_174,-1.13703015,-0.194301978,-0.142578621,-34.23250759,2019,2020_174,SL18-OI-4-FG2xSL18-JS-19-MG2,6.811501396,7.753782681,-0.05337151,-1.879966129,0.079943145,2019,2020_174,SL18-OI-4-FG2xSL18-JS-19-MG2,
2019_162,-1.979832776,0.864353823,-0.146007423,-240.1860844,2019,2019_162,SL18-OI-2-FG2xSL18-LD-1-MG2,22.07368386,9.824364167,-0.120002976,-1.962570334,0.748912775,2019,2019_162,SL18-OI-2-FG2xSL18-LD-1-MG2,
2019_14,-1.250861485,-0.422547999,-0.148035791,85.68489674,2019,2019_14,SL18-LD-13-FG2xSL18-LD-13-MG2,-26.46530448,-2.094928906,-0.113475556,-0.517326756,-0.097732368,2019,2019_14,SL18-LD-13-FG2xSL18-LD-13-MG2,
2020_226,-1.539525082,1.217999358,-0.154012534,-18.48609263,2019,2020_226,SL18-CC-3-FG2xSL18-OI-11-MG3,28.38342195,6.992228635,0.168814276,-4.940769975,0.166957186,2019,2020_226,SL18-CC-3-FG2xSL18-OI-11-MG3,
2020_95,-1.369091181,-0.649031964,-0.157570234,36.77334151,2019,2020_95,SL18-CC-12-FG3xSL18-NC-11-MG2,-17.07188517,-2.231894712,-0.126080228,-3.145163022,-1.362343795,2019,2020_95,SL18-CC-12-FG3xSL18-NC-11-MG2,
2019_26,-2.058283284,-0.709668675,-0.167957497,-122.9907087,2019,2019_26,SL18-LD-1-FG3xSL18-OI-16-MG1,-11.76450635,-2.090919736,0.127047599,-0.02719653,-0.059918886,2019,2019_26,SL18-LD-1-FG3xSL18-OI-16-MG1,
2019_151,-1.918049013,0.164377049,-0.167968584,-184.3250606,2019,2019_151,SL18-OI-18-FG2xSL18-LD-2-MG3,-19.90919483,3.84080057,-0.268260712,-6.509846097,-0.835260437,2019,2019_151,SL18-OI-18-FG2xSL18-LD-2-MG3,
2019_35,-2.549995716,5.456923943,-0.169507632,24.8114642,2019,2019_35,SL18-LD-2-FG2xSL18-SF-19-MG1,-21.47216547,0.455356775,0.017274373,-4.382945486,-0.49635359,2019,2019_35,SL18-LD-2-FG2xSL18-SF-19-MG1,
2020_23,-1.544983776,0.84620092,-0.173026664,11.41843535,2019,2020_23,SL18-CC-3-FG2xSA18-CB-4-MG2,33.3273948,-5.563558145,0.081555212,-6.961378571,-0.995068942,2019,2020_23,SL18-CC-3-FG2xSA18-CB-4-MG2,
2019_182,-1.973891492,-1.075131278,-0.17488647,-179.1351863,2019,2019_182,SL18-OI-6-FG1xSL18-SF-19-MG1,-19.39256527,0.841511603,-0.169363631,-5.148765896,-0.955249416,2019,2019_182,SL18-OI-6-FG1xSL18-SF-19-MG1,
2020_87,-2.126884087,5.586215664,-0.194219769,-79.08123261,2019,2020_87,SL18-NC-8-FG1xSL18-NL-7-MG2,-21.60982367,0.504564167,-0.136834518,-7.69924764,-1.423366997,2020,2020_87,SL18-NC-8-FG1xSL18-NL-7-MG2,
2019_17,-1.929461133,-0.244204133,-0.197172892,68.12433249,2019,2019_17,SL18-LD-1-FG1xSL18-NL-2-MG2,-39.18523969,-3.500300613,-0.183666914,-3.691152337,-1.209097863,2019,2019_17,SL18-LD-1-FG1xSL18-NL-2-MG2,
2019_137,-2.77862473,2.864252873,-0.208754978,-117.6230802,2019,2019_137,SL18-OI-16-FG3xSA18-CB-5-MG3,2.483175893,-1.759270878,-0.176534974,-7.714894127,-1.709214129,2019,2019_137,SL18-OI-16-FG3xSA18-CB-5-MG3,
