,allBLUPs_scheme,scheme,DWpM_2019,scheme,DWpM_2020,scheme,DWpM_2021,scheme,DWpM_Two,scheme,DWpM_Three
SL18-CC-1-FG2xSL18-OI-11-MG2,0,2019,-0.018708888,2020,-0.06679075,2021,0.084034158,Two,-0.078877757,Three,0.070975557
SL18-CC-12-FG3xSL18-OI-15-MG2,0,2019,0.046916517,2020,0.158521184,2021,0.083827227,Two,0.205420407,Three,0.222838747
SL18-CC-12-FG2xSA18-CB-7-MG1,0,2019,0.049983408,2020,0.237602364,2021,0.080296357,Two,0.310721239,Three,0.375285354
SA18-CB-10-FG6xSL18-NC-2-MG3,0,2019,0.024816662,2020,0.162841129,2021,0.080231664,Two,0.198535661,Three,0.327894908
SA18-CB-7-FG1xSL18-LL-9-MG3,0,2019,0.052401871,2020,0.059678191,2021,0.077567957,Two,0.084578625,Three,0.212869683
SL18-SF-13-FG2xSL18-NC-2-MG1,0,2019,0.013592724,2020,0.166477983,2021,0.069869058,Two,0.245263953,Three,0.260584677
SL18-CC-6-FG2xSL18-OI-18-MG1,0,2019,-0.020905758,2020,-0.068909303,2021,0.068548215,Two,-0.073217194,Three,0.070445582
SL18-CC-6-FG3xSL18-OI-11-MG2,0,2019,-0.016235912,2020,-0.104701547,2021,0.066863257,Two,-0.129100077,Three,-0.075844189
SL18-CC-3-FG2xSL18-OD-6-MG1,0,2019,-0.023882713,2020,0.131573088,2021,0.065418897,Two,0.181833006,Three,0.187032624
SL18-CC-3-FG1xSL18-JS-11-MG2,0,2019,-0.014017546,2020,-0.038430357,2021,0.064758051,Two,-0.064163279,Three,0.057070087
SL18-CC-6-FG2xSL18-OI-14-MG1,0,2019,0.027193202,2020,0.023055683,2021,0.064103719,Two,0.043720163,Three,0.119746173
SL18-CC-11-FG3xSL18-CC-3-MG1,0,2019,-0.014267087,2020,0.191686327,2021,0.062511118,Two,0.228560813,Three,0.246206404
SL18-CC-3-FG3xSL18-JS-19-MG1,0,2019,-0.003020578,2020,0.040575748,2021,0.062060819,Two,0.059245188,Three,0.176897774
SL18-CC-3-FG1xSL18-OI-16-MG2,0,2019,-0.001831795,2020,-0.00983513,2021,0.059802102,Two,0.006130741,Three,0.066568958
SA18-CB-10-FG1xSL18-SF-19-MG2,0,2019,0.072740621,2020,0.118470785,2021,0.057957102,Two,0.149711545,Three,0.192082329
SL18-CC-6-FG2xSL18-OI-11-MG4,0,2019,-0.014182304,2020,-0.04895685,2021,0.055844283,Two,-0.051266971,Three,0.0247876
SA18-CB-4-FG3xSA18-CB-4-MG3,0,2019,0.014479617,2020,0.081895284,2021,0.055327362,Two,0.05518217,Three,0.116720234
SL18-CC-3-FG3xSL18-OD-6-MG3,0,2019,-0.016965868,2020,0.084053464,2021,0.055250368,Two,0.116729171,Three,0.137843515
SL18-SF-13-FG2xSL18-UCONN-S2-MG3,0,2019,0.015110642,2020,0.153325124,2021,0.055030079,Two,0.188671319,Three,0.193911751
SA18-CB-10-FG2xSL18-LL-9-MG1,0,2019,-0.01888549,2020,0.091834677,2021,0.054201051,Two,0.054544856,Three,0.118945778
SL18-LL-9-FG6xSA18-CB-10-MG3,0,2019,-0.001404707,2020,0.098953178,2021,0.053004131,Two,0.086219653,Three,0.130749434
SL18-CC-12-FG2xSL18-LL-9-MG4,0,2019,-0.058739365,2020,0.200923478,2021,0.052958987,Two,0.248582434,Three,0.234205977
SL18-LD-1-FG3xSL18-OI-15-MG2,0,2019,0.006530809,2020,0.100957492,2021,0.051387413,Two,0.088075688,Three,0.096499562
SL18-CC-3-FG1xSL18-JS-6-MG3,0,2019,-0.012333614,2020,0.18874646,2021,0.050396474,Two,0.242706785,Three,0.187717837
SL18-OI-11-FG3xSL18-NC-2-MG1,0,2019,-0.004450263,2020,0.163960912,2021,0.050347761,Two,0.232141796,Three,0.18484039
SL18-CC-12-FG3xSL18-OI-15-MG3,0,2019,0.045966072,2020,0.073611807,2021,0.049830245,Two,0.10027395,Three,0.120680426
SL18-CC-6-FG3xSL18-OI-18-MG1,0,2019,-0.018013333,2020,-0.134819464,2021,0.044739054,Two,-0.166140276,Three,-0.072960024
SL18-CC-3-FG1xSL18-JS-5-MG2,0,2019,-0.020715913,2020,-0.019454626,2021,0.044195227,Two,-0.028521404,Three,0.082495489
SL18-OI-5-FG5xSA18-CB-7-MG3,0,2019,0.048026401,2020,0.10100543,2021,0.043671758,Two,0.102702279,Three,0.150094399
SL18-CC-1-FG2xSL18-CC-2-MG6,0,2019,-0.003191064,2020,-0.002882891,2021,0.043209429,Two,0.001287639,Three,0.054086749
SL18-SF-13-FG1xSL18-LL-9-MG3,0,2019,-0.002540683,2020,-0.043548409,2021,0.042961673,Two,-0.041718076,Three,0.012129407
SL18-OI-15-FG2xSA18-CB-2-MG3,0,2019,0.041483451,2020,0.104202112,2021,0.041867758,Two,0.0945744,Three,0.102133264
SL18-SF-13-FG2xSA18-CB-2-MG3,0,2019,0.019617354,2020,0.178635661,2021,0.041528905,Two,0.193231807,Three,0.17436378
SL18-CC-6-FG3xSL18-OI-14-MG2,0,2019,0.048564842,2020,-0.075163557,2021,0.04029559,Two,-0.072841142,Three,-0.044306865
SL18-OI-11-FG1xSL18-SF-15-MG2,0,2019,0.05206896,2020,0.02777873,2021,0.040223428,Two,0.075973866,Three,0.025502344
SL18-CC-1-FG2xSL18-OI-16-MG1,0,2019,0.012740821,2020,-0.163597469,2021,0.039868904,Two,-0.151652489,Three,-0.017079961
SA18-CB-7-FG1xSL18-LD-1-MG1,0,2019,0.019569247,2020,0.067175052,2021,0.039660768,Two,0.047917962,Three,0.146058003
SL18-SF-13-FG1xSA18-CB-7-MG1,0,2019,0.061638907,2020,0.051567212,2021,0.039515279,Two,0.070166502,Three,0.119122922
SA18-CB-5-FG6xSL18-CC-6-MG2,0,2019,-0.004182373,2020,-0.004677177,2021,0.038515597,Two,0.001064094,Three,0.054571935
SL18-CC-1-FG2xSL18-NC-11-MG2,0,2019,-0.008571014,2020,-0.10964417,2021,0.036655044,Two,-0.138362051,Three,-0.006310181
SA18-CB-4-FG6xSL18-JS-6-MG3,0,2019,0.007716935,2020,0.223808458,2021,0.034576378,Two,0.28697247,Three,0.234885888
SL18-OI-18-FG2xSA18-CB-7-MG1,0,2019,0.068136141,2020,0.047066371,2021,0.034410729,Two,0.083703734,Three,0.131858467
SL18-UCONN-S57-FG1xSL18-OI-11-MG1,0,2019,0.004222422,2020,0.00567283,2021,0.033064865,Two,0.011794413,Three,-0.007550318
SL18-CC-6-FG1xSL18-JS-5-MG2,0,2019,-0.013031133,2020,-0.125378699,2021,0.032736813,Two,-0.153779513,Three,-0.000253765
SL18-CC-8-FG2xSL18-LD-9-MG1,0,2019,-0.029890886,2020,0.00307682,2021,0.032322872,Two,0.01777706,Three,0.030463306
SL18-SF-17-FG2xSA18-CB-7-MG3,0,2019,0.063838011,2020,0.224271183,2021,0.031296663,Two,0.275951811,Three,0.25322682
SL18-OI-18-FG5xSA18-CB-4-MG3,0,2019,0.044822955,2020,-0.003593873,2021,0.030634953,Two,0.017626726,Three,0.019251606
SL18-LD-1-FG3xSL18-OI-11-MG2,0,2019,-0.058989387,2020,-0.008617772,2021,0.030556036,Two,-0.052963741,Three,-0.0327772
SL18-OI-18-FG5xSL18-SF-15-MG2,0,2019,0.094919405,2020,-0.014130446,2021,0.029592799,Two,0.065780178,Three,-0.007773262
SL18-OI-15-FG1xSA18-CB-2-MG3,0,2019,0.063144184,2020,0.068381021,2021,0.029249131,Two,0.066388724,Three,0.081544693
SL18-LD-5-FG1xSA18-CB-10-MG1,0,2019,0.006083697,2020,0.172572611,2021,0.029080664,Two,0.129421355,Three,0.109800081
SL18-OI-7-FG3xSA18-CB-2-MG3,0,2019,-0.014477034,2020,0.112598963,2021,0.028934066,Two,0.054173776,Three,0.093450572
SL18-UCONN-S57-FG2xSL18-OI-11-MG1,0,2019,0.004222381,2020,0.005672848,2021,0.02869228,Two,0.011794462,Three,0.039472535
SL18-UCONN-S78-FG1xSL18-OI-11-MG2,0,2019,-0.033534583,2020,-0.047871307,2021,0.028551449,Two,-0.052206581,Three,-0.031488324
SL18-NL-3-FG1xSL18-OI-11-MG2,0,2019,-0.012697567,2020,-0.111288987,2021,0.02787529,Two,-0.119540212,Three,-0.0792775
SL18-OI-15-FG1xSL18-SF-15-MG1,0,2019,0.128739471,2020,0.009417805,2021,0.026790175,Two,0.088437794,Three,0.048847086
SL18-CC-8-FG1xSL18-OI-7-MG1,0,2019,0.011534776,2020,-0.092483288,2021,0.026779148,Two,-0.128993274,Three,-0.054368956
SL18-NL-10-FG2xSL18-OI-11-MG1,0,2019,-0.030196887,2020,-0.024820644,2021,0.026460248,Two,-0.023952301,Three,-0.011606133
SL18-LD-9-FG2xSL18-SF-13-MG3,0,2019,-0.049182911,2020,-0.034306935,2021,0.026423685,Two,-0.0562268,Three,-0.021411332
SL18-OI-6-FG2xSA18-CB-4-MG2,0,2019,0.004933122,2020,0.388877117,2021,0.026414921,Two,0.465325377,Three,0.335322079
SL18-OI-11-FG3xSL18-CC-1-MG3,0,2019,-0.002248023,2020,0.141025112,2021,0.026219546,Two,0.201923437,Three,0.11335547
SL18-CC-6-FG3xSL18-CC-2-MG6,0,2019,-0.000718087,2020,-0.040793691,2021,0.02603857,Two,-0.048934684,Three,-0.092732763
SL18-LD-4-FG2xSL18-SF-15-MG2,0,2019,0.023497651,2020,0.02613746,2021,0.02482403,Two,0.037200126,Three,0.004421365
SL18-LD-13-FG2xSA18-CB-7-MG1,0,2019,0.076386756,2020,-0.014055675,2021,0.023944208,Two,0.013395371,Three,0.08440353
SL18-CC-5-FG3xSL18-NC-2-MG1,0,2019,-0.006344116,2020,0.11287857,2021,0.023892703,Two,0.162614522,Three,0.149025121
SL18-OI-6-FG1xSL18-SF-15-MG1,0,2019,0.020505759,2020,0.140806923,2021,0.023888646,Two,0.079567363,Three,0.044604107
SL18-JS-19-FG2xSA18-CB-10-MG3,0,2019,0.023251152,2020,0.05274214,2021,0.02329466,Two,0.052063278,Three,0.103323258
SL18-CC-5-FG1xSL18-OI-15-MG2,0,2019,0.046407911,2020,0.128055813,2021,0.022846602,Two,0.182803375,Three,0.073949041
SA18-CB-5-FG4xSL18-CC-1-MG3,0,2019,-0.008925618,2020,0.049022444,2021,0.022516953,Two,0.060412092,Three,0.083576556
SL18-CC-1-FG2xSL18-OI-16-MG3,0,2019,0.008207543,2020,-0.14483314,2021,0.022235081,Two,-0.167421817,Three,-0.058764085
SA18-CB-4-FG6xSL18-NC-2-MG3,0,2019,0.007683848,2020,0.144038108,2021,0.022061292,Two,0.179188435,Three,0.163890331
SL18-LD-3-FG1xSL18-SF-19-MG2,0,2019,-0.007966271,2020,0.007466086,2021,0.021764283,Two,-0.005941357,Three,0.00161759
SL18-NC-15-FG2xSL18-OI-11-MG2,0,2019,-0.022383558,2020,-0.034302711,2021,0.021319831,Two,-0.033148263,Three,-0.110361083
SL18-NL-9-FG2xSA18-CB-7-MG1,0,2019,0.04732096,2020,0.058180576,2021,0.021273034,Two,0.076701226,Three,0.112741869
SL18-SF-17-FG3xSA18-CB-10-MG1,0,2019,0.042961145,2020,0.200687755,2021,0.020776695,Two,0.184342884,Three,0.143723792
SL18-CC-1-FG3xSL18-OI-9-MG2,0,2019,0.006062258,2020,-0.063915884,2021,0.020729002,Two,-0.076954591,Three,-0.019685638
SL18-UCONN-S57-FG2xSL18-OI-11-MG3,0,2019,0.004222512,2020,-0.04679674,2021,0.020627015,Two,-0.068685891,Three,0.025048328
SL18-UCONN-S157-FG3xSL18-LD-2-MG2,0,2019,0.005375456,2020,0.017210902,2021,0.019642582,Two,0.0571191,Three,-0.208626875
SL18-UCONN-S57-FG3xSL18-OI-11-MG3,0,2019,0.00422251,2020,-0.04679673,2021,0.018093025,Two,-0.068685865,Three,0.012669155
SL18-NL-6-FG1xSL18-OI-11-MG2,0,2019,0.068458978,2020,0.000898037,2021,0.0177305,Two,0.066105742,Three,0.057187656
SL18-OI-18-FG2xSL18-LD-9-MG1,0,2019,-0.014342157,2020,-0.039410236,2021,0.017604939,Two,-0.022802848,Three,-0.01152961
SL18-OI-6-FG1xSA18-CB-4-MG1,0,2019,-0.037749746,2020,0.143226527,2021,0.017528822,Two,0.018688993,Three,0.048310503
SL18-LD-9-FG4xSL18-OI-6-MG2,0,2019,-0.023936097,2020,0.125699755,2021,0.017110189,Two,0.097426968,Three,0.067626838
SL18-CC-12-FG3xSL18-NC-11-MG2,0,2019,-0.008465825,2020,0.006092471,2021,0.015616768,Two,0.004896615,Three,0.016276346
SL18-LD-10-FG2xSA18-CB-7-MG2,0,2019,0.074151785,2020,0.135204931,2021,0.015526524,Two,0.173235836,Three,0.156547608
SL18-CC-9-FG1xSL18-OI-11-MG2,0,2019,-0.013869723,2020,-0.004219921,2021,0.015463719,Two,0.005133272,Three,-0.054413923
SL18-OI-18-FG3xSL18-OI-7-MG1,0,2019,0.021904497,2020,0.007375378,2021,0.015418637,Two,0.030061331,Three,0.031386279
SL18-CC-5-FG1xSL18-NC-2-MG1,0,2019,-0.011922776,2020,0.091536603,2021,0.014734752,Two,0.135615308,Three,0.088798619
SA18-CB-5-FG1xSA18-CB-10-MG1,0,2019,0.051791132,2020,0.18527191,2021,0.01469768,Two,0.205333207,Three,0.159074265
SL18-CC-1-FG2xSL18-CC-7-MG2,0,2019,-0.011367308,2020,-0.011155617,2021,0.014452577,Two,-0.017414061,Three,-0.003745609
SL18-OI-17-FG1xSL18-SF-13-MG2,0,2019,0.053630819,2020,0.02656362,2021,0.0140923,Two,0.067395864,Three,0.061366156
SL18-OI-6-FG1xSL18-SF-19-MG1,0,2019,-0.026154934,2020,0.068967044,2021,0.013379422,Two,-0.024629856,Three,-0.009036136
SL18-SF-17-FG3xSL18-OI-7-MG1,0,2019,0.021407637,2020,0.067725669,2021,0.013071134,Two,0.044547938,Three,0.05326547
SL18-CC-6-FG3xSL18-JS-9-MG2,0,2019,-0.011310697,2020,-0.221866635,2021,0.012247887,Two,-0.290893026,Three,-0.193380773
SL18-LD-1-FG3xSL18-OI-7-MG1,0,2019,-0.02976594,2020,0.040016129,2021,0.011925625,Two,-0.001741141,Three,0.012709265
SL18-CC-10-FG4xSL18-NC-2-MG2,0,2019,-0.003722992,2020,0.110440493,2021,0.011836975,Two,0.146864978,Three,0.114133957
SL18-OI-6-FG1xSL18-LD-5-MG1,0,2019,-0.068385401,2020,0.133505509,2021,0.011319721,Two,-0.02170317,Three,-0.002575055
SL18-OI-6-FG3xSL18-CC-11-MG5,0,2019,-0.009798076,2020,0.278668563,2021,0.011261194,Two,0.314719042,Three,0.184188433
SL18-LD-4-FG2xSL18-LL-9-MG1,0,2019,-0.089820948,2020,-0.004085748,2021,0.011185677,Two,-0.086087549,Three,-0.053719201
SA18-CB-2-FG3xSL18-CC-2-MG5,0,2019,0.013169953,2020,0.147332569,2021,0.01064836,Two,0.19248418,Three,0.133190706
SL18-OI-18-FG5xSL18-LD-2-MG1,0,2019,-0.006179767,2020,-0.0286902,2021,0.01064514,Two,-0.012897647,Three,-0.068209274
SL18-LD-1-FG2xSA18-CB-4-MG3,0,2019,0.030726263,2020,0.037535621,2021,0.010590874,Two,0.028397731,Three,0.05153313
SL18-LD-3-FG2xSA18-CB-2-MG3,0,2019,0.000156505,2020,0.091603776,2021,0.010470705,Two,0.043111476,Three,0.068631042
SL18-LD-1-FG3xSL18-OI-15-MG1,0,2019,0.02784966,2020,0.038761956,2021,0.010239055,Two,0.035699822,Three,-0.000324198
SL18-CC-12-FG3xSL18-JS-6-MG1,0,2019,-0.005499784,2020,0.115652993,2021,0.010214178,Two,0.151510163,Three,0.038803255
SL18-OI-6-FG1xSL18-LD-2-MG1,0,2019,-0.079381907,2020,0.12712521,2021,0.010035001,Two,0.005571341,Three,-0.02717409
SL18-OI-6-FG2xSL18-LD-2-MG2,0,2019,-0.048918522,2020,0.29106866,2021,0.009745729,Two,0.345474037,Three,0.117210023
SL18-LD-2-FG2xSL18-LL-9-MG2,0,2019,-0.054628107,2020,-0.043786309,2021,0.009385027,Two,-0.073905954,Three,-0.071939061
SL18-OI-4-FG2xSA18-CB-7-MG2,0,2019,0.084516904,2020,0.258969103,2021,0.009295799,Two,0.353347101,Three,0.267081564
SL18-CC-1-FG1xSL18-CC-4-MG11,0,2019,-0.008287143,2020,-0.050332386,2021,0.008897192,Two,-0.061425138,Three,-0.028183826
SL18-CC-8-FG2xSL18-NC-5-MG3,0,2019,-0.001401103,2020,-0.089642651,2021,0.008195751,Two,-0.098727854,Three,-0.060419172
SL18-NL-10-FG1xSA18-CB-4-MG3,0,2019,0.019721801,2020,-0.017926263,2021,0.007965049,Two,-0.015682692,Three,0.010934187
SL18-LD-1-FG1xSL18-OI-18-MG1,0,2019,-0.067302099,2020,-0.045361394,2021,0.00787662,Two,-0.083568862,Three,-0.033992993
SL18-OI-18-FG3xSL18-LL-9-MG1,0,2019,-0.0406167,2020,-0.044353209,2021,0.007425114,Two,-0.07589896,Three,-0.058375235
SL18-OI-6-FG1xSL18-LD-13-MG2,0,2019,-0.039749696,2020,0.066163835,2021,0.007291802,Two,-0.013678304,Three,-0.017037272
SL18-LD-2-FG2xSL18-SF-19-MG1,0,2019,-0.005351029,2020,-0.086280339,2021,0.007281306,Two,-0.083371763,Three,-0.076693529
SL18-OI-6-FG1xSA18-CB-2-MG1,0,2019,-0.037577217,2020,0.174863584,2021,0.007224122,Two,0.048273554,Three,0.057715804
SA18-CB-2-FG3xSL18-NC-9-MG1,0,2019,0.017067302,2020,0.017500797,2021,0.006741131,Two,0.012550153,Three,0.059568553
SL18-LD-10-FG1xSL18-OI-18-MG1,0,2019,-0.019033304,2020,-0.024836013,2021,0.006592159,Two,-0.033487913,Three,0.01456176
SL18-SF-17-FG2xSA18-CB-7-MG2,0,2019,0.102826384,2020,0.200635436,2021,0.0065755,Two,0.257739189,Three,0.217281407
SL18-SF-13-FG2xSL18-JS-11-MG3,0,2019,0.020819942,2020,0.049227789,2021,0.006437412,Two,0.096727314,Three,0.063346859
SL18-OI-9-FG1xSL18-LL-9-MG2,0,2019,-0.034798682,2020,-0.027624515,2021,0.005815972,Two,-0.048060196,Three,-0.035085631
SL18-SF-17-FG1xSL18-LL-9-MG1,0,2019,-0.050566589,2020,0.015997945,2021,0.005077743,Two,-0.049037186,Three,-0.035468989
SL18-OI-18-FG2xSL18-LD-2-MG3,0,2019,-0.03704328,2020,-0.030206562,2021,0.004926122,Two,-0.030554351,Three,-0.067204731
SL18-NL-3-FG1xSA18-CB-7-MG2,0,2019,0.0904341,2020,0.042900847,2021,0.00484773,Two,0.079330338,Three,0.090868521
SL18-OI-9-FG4xSA18-CB-1-MG12,0,2019,0.030997635,2020,-0.024679675,2021,0.004599418,Two,-0.011151985,Three,-0.000290661
SL18-LD-1-FG2xSL18-SF-15-MG1,0,2019,0.079611173,2020,0.026121012,2021,0.004454703,Two,0.071869376,Three,0.035850454
SL18-JS-6-FG2xSL18-NC-2-MG1,0,2019,-0.013421085,2020,0.124029474,2021,0.004300867,Two,0.175320495,Three,0.06593538
SL18-LD-1-FG3xSL18-OI-6-MG2,0,2019,-0.047366601,2020,0.136078995,2021,0.003824089,Two,0.065141767,Three,0.03062906
SA18-CB-2-FG3xSL18-OI-2-MG2,0,2019,0.002395862,2020,0.008587684,2021,0.003797187,Two,-0.003504033,Three,0.023758518
SL18-JS-9-FG3xSA18-CB-10-MG1,0,2019,0.027905455,2020,0.046011977,2021,0.003629731,Two,0.017325806,Three,0.036794871
SL18-CC-5-FG2xSA18-CB-10-MG1,0,2019,0.035539545,2020,0.262767217,2021,0.003559616,Two,0.313211493,Three,0.164282561
SL18-NC-15-FG3xSL18-CC-1-MG2,0,2019,-0.007530114,2020,-0.086737452,2021,0.003086737,Two,-0.114101397,Three,-0.089078637
SL18-LD-4-FG1xSA18-CB-2-MG1,0,2019,-0.024118347,2020,0.059316064,2021,0.003065504,Two,0.004549628,Three,0.028987235
SL18-OI-2-FG2xSL18-LD-1-MG2,0,2019,-0.080531061,2020,0.021004795,2021,0.002925876,Two,-0.055748625,Three,-0.040423039
SL18-SF-17-FG3xSL18-OI-9-MG3,0,2019,0.03146191,2020,0.029317705,2021,0.002847474,Two,0.025946795,Three,0.019351335
SL18-OI-15-FG1xSL18-NL-5-MG1,0,2019,0.01518852,2020,-0.022415415,2021,0.002822489,Two,-0.012895031,Three,0.002562411
SL18-SF-13-FG2xSL18-JS-9-MG2,0,2019,0.01132841,2020,-0.023743078,2021,0.002534174,Two,-0.010380267,Three,-0.001078202
SL18-UCONN-S2-FG1xSL18-NC-2-MG3,0,2019,-0.013146599,2020,0.099843429,2021,0.002379635,Two,0.100365263,Three,0.052403484
SL18-OI-18-FG2xSL18-LD-10-MG1,0,2019,0.023187812,2020,-0.02166233,2021,0.002173731,Two,0.0031688,Three,-0.000872553
SA18-CB-5-FG3xSL18-NL-5-MG1,0,2019,-0.062254491,2020,0.003071595,2021,0.002150325,Two,-0.037993928,Three,0.020497734
SL18-CC-8-FG1xSL18-NC-8-MG2,0,2019,0.004593066,2020,-0.231912317,2021,0.00210991,Two,-0.307423533,Three,-0.186838031
SL18-NL-5-FG1xSL18-OI-14-MG1,0,2019,0.012880897,2020,0.033108411,2021,0.002067989,Two,0.04242946,Three,0.044186132
SL18-NL-3-FG1xSL18-SF-13-MG2,0,2019,0.037033144,2020,-0.069487828,2021,0.002035767,Two,-0.043145764,Three,-0.03617857
SL18-OI-16-FG3xSA18-CB-4-MG3,0,2019,0.025742611,2020,-0.02795661,2021,0.001869852,Two,-0.013442982,Three,-0.012087944
SL18-NL-3-FG1xSL18-OI-7-MG3,0,2019,0.01009026,2020,-0.005587241,2021,0.001775997,Two,0.009322713,Three,0.019438842
SL18-LD-1-FG3xSL18-OI-9-MG3,0,2019,-0.019711666,2020,0.001608165,2021,0.001701964,Two,-0.020342285,Three,-0.021204872
SL18-OI-16-FG2xSL18-OI-18-MG1,0,2019,-0.011161176,2020,-0.110575711,2021,0.001454416,Two,-0.109890131,Three,-0.075072434
SL18-LD-3-FG1xSL18-NL-9-MG1,0,2019,-0.094767023,2020,-0.05058674,2021,0.001442003,Two,-0.108215499,Three,-0.090613101
SA18-CB-9-FG1xSL18-OI-7-MG3,0,2019,0.031807457,2020,0.178126801,2021,0.001359084,Two,0.24041505,Three,0.180584384
SL18-NL-10-FG1xSL18-OI-7-MG1,0,2019,0.019020852,2020,-0.006957457,2021,0.001278064,Two,0.01514339,Three,0.015530277
SL18-LL-9-FG3xSL18-NL-9-MG1,0,2019,-0.13229708,2020,-0.065984577,2021,0.000816618,Two,-0.149242858,Three,-0.127996991
SL18-OD-5-FG1xSL18-CC-8-MG2,0,2019,-0.010219019,2020,-0.125723943,2021,0.000754734,Two,-0.152518763,Three,-0.11091993
SL18-CC-11-FG3xSA18-CB-3-MG3,0,2019,0.029741953,2020,0.275478083,2021,0.000599741,Two,0.338512522,Three,0.256137354
SL18-NL-2-FG3xSA18-CB-2-MG3,0,2019,-0.038108176,2020,-0.011226266,2021,0.000410555,Two,-0.04560991,Three,-0.021715961
SL18-LL-9-FG2xSA18-CB-5-MG3,0,2019,-0.030034,2020,-0.054554634,2021,0.000298623,Two,-0.111604462,Three,-0.047036818
SL18-CC-8-FG1xSL18-OI-18-MG3,0,2019,0.01414748,2020,-0.184076655,2021,3.76894E-05,Two,-0.22509139,Three,-0.1536925
SL18-SF-17-FG3xSL18-LD-2-MG1,0,2019,-0.028894113,2020,0.03166054,2021,-0.000231693,Two,-0.016802489,Three,-0.038791481
SL18-OI-2-FG3xSL18-SF-17-MG1,0,2019,-0.005678118,2020,0.044097836,2021,-0.000295446,Two,0.005375304,Three,0.008216444
SL18-LD-3-FG2xSL18-LL-9-MG2,0,2019,-0.030185977,2020,0.003294657,2021,-0.000393754,Two,-0.029570963,Three,-0.012952389
SL18-NL-10-FG1xSL18-OI-15-MG1,0,2019,0.076636448,2020,-0.008211627,2021,-0.000408504,Two,0.052584345,Three,0.002496811
SL18-OI-18-FG1xSL18-OI-9-MG3,0,2019,0.052979669,2020,-0.015069644,2021,-0.000770184,Two,0.038595756,Three,0.019016317
SL18-SF-17-FG2xSA18-CB-1-MG13,0,2019,0.051749134,2020,0.10905913,2021,-0.000869587,Two,0.130243066,Three,0.114863848
SL18-UCONN-S142-FG3xSL18-OI-15-MG1,0,2019,0.090815292,2020,0.026864556,2021,-0.000909464,Two,0.087806803,Three,0.024082525
SL18-UCONN-S94-FG3xSL18-OI-15-MG1,0,2019,0.126432184,2020,0.099003299,2021,-0.002135888,Two,0.181858208,Three,0.104885369
SL18-UCONN-S94-FG2xSL18-OI-15-MG1,0,2019,0.126432184,2020,0.099003299,2021,-0.002554985,Two,0.181858208,Three,0.101474825
SL18-NL-6-FG1xSL18-OI-15-MG1,0,2019,0.155298114,2020,0.048277753,2021,-0.002586482,Two,0.154769355,Three,0.089640687
SL18-UCONN-S142-FG2xSL18-OI-15-MG1,0,2019,0.090815292,2020,0.026864556,2021,-0.002857817,Two,0.087806803,Three,0.014283896
SL18-OI-6-FG1xSL18-NL-9-MG1,0,2019,-0.102194167,2020,0.082759783,2021,-0.002892877,Two,-0.052321208,Three,-0.053487291
SL18-LD-1-FG2xSL18-SF-13-MG3,0,2019,0.005938055,2020,-0.013070942,2021,-0.003477926,Two,-0.010352145,Three,-0.011369201
