Sample ID,Name_InPheno,Name_InGeno,Chosen Reason,Plate,Location,Region,Parent
SL-NC-10-FG-1,SL18-NC-10-FG1,SL18-NC-10-FG1,Biomass,3,NC,GOM,SL18-NC-10
SL-NC-10-FG-3,SL18-NC-10-FG3,SL18-NC-10-FG3,Diversity,3,NC,GOM,SL18-NC-10
SL-NC-15-FG-3,SL18-NC-15-FG3,SL18-NC-15-FG3,Diversity,3,NC,GOM,SL18-NC-15
SL-NL-2-FG-2,SL18-NL-2-FG2,SL18-NL-2-FG2,Diversity,3,NL,GOM,SL18-NL-2
SL-NL-5-FG-1,SL18-NL-5-FG1,SL18-NL-5-FG1,Diversity,3,NL,GOM,SL18-NL-5
SL-NL-6-FG-2,SL18-NL-6-FG2,SL18-NL-6-FG2,Diversity,3,NL,GOM,SL18-NL-6
SL-NL-7-FG-3,SL18-NL-7-FG3,SL18-NL-7-FG3,Diversity,3,NL,GOM,SL18-NL-7
SL-NL-7-FG-4,SL18-NL-7-FG4,SL18-NL-7-FG4,Diversity,3,NL,GOM,SL18-NL-7
SL-NL-10-FG-1,SL18-NL-10-FG1,SL18-NL-10-FG1,Diversity,3,NL,GOM,SL18-NL-10
SL-TI-4-FG-3,SL18-TI-4-FG3,SL18-TI-4-FG3,Diversity,3,TI,SNE,SL18-TI-4
SL-BL-18-FG-10,SL18-BL-18-FG10,SL18-BL-18-FG10,Diversity,3,BL,SNE,SL18-BL-18
SL-OD-5-FG-1,SL18-OD-5-FG1,SL18-OD-5-FG1,Diversity,3,OD,GOM,SL18-OD-5
SL-JS-5-MG-3,SL18-JS-5-MG3,SL18-JS-5-MG3,Biomass,3,JS,GOM,SL18-JS-5
SL-JS-6-MG-3,SL18-JS-6-MG3,SL18-JS-6-MG3,Biomass,3,JS,GOM,SL18-JS-6
SL-CC-1-FG-1,SL18-CC-1-FG1,SL18-CC-1-FG1,Biomass,3,CC,GOM,SL18-CC-1
SA-CB-1-MG-12,SA18-CB-1-MG12,SA18-CB-1-MG12,Biomass,3,CB,GOM,SA18-CB-1
SL-NL-7-MG-1,SL18-NL-7-MG1,SL18-NL-7-MG1,Biomass,3,NL,GOM,SL18-NL-7
LIS-F1-3,LIS-F1-3,3,Checks,3,Check,Check,Check
SL-CT1-FG-3,SL18-CT1-FG3,SL18-CT1-FG3,Checks,3,Check,Check,Check
SL-CT1-MG-2,SL18-CT1-MG2,SL18-CT1-MG2,Checks,3,Check,Check,Check
SL-CT1-MG-3,SL18-CT1-MG3,SL18-CT1-MG3,Checks,3,Check,Check,Check
SL-OI-15-Female,SL18-OI-15-FG,SL18-OI-15-Female,Checks,3,Check,Check,SL18-OI-15
SL-ME-1-FG-1,SL18-ME-1-FG1,SL18-ME-1-FG1,Checks,3,Check,Check,Check
SL-ME-1-MG-1,SL18-ME-1-MG1,SL18-ME-1-MG1,Checks,3,Check,Check,Check
SL-ME-1-MG-2,SL18-ME-1-MG2,SL18-ME-1-MG2,Checks,3,Check,Check,Check
SA-CB-1-MG-2,SA18-CB-1-MG2,SA18-CB-1-MG2,Diversity,1_2,CB,GOM,SA18-CB-1
SL-FW-21-MG-1,SL18-FW-21-MG1,SL18-FW-21-MG1,Diversity,1_2,FW,SNE,SL18-FW-21
SL-SF-17-MG-1,SL18-SF-17-MG1,SL18-SF-17-MG1,Diversity,1_2,SF,GOM,SL18-SF-17
SL-FI-2-FG-11,SL18-FI-2-FG11,SL18-FI-2-FG11,Diversity,1_2,FI,SNE,SL18-FI-2
SL-LD-3-FG-2,SL18-LD-3-FG2,SL18-LD-3-FG2,Diversity,1_2,LD,GOM,SL18-LD-3
SA-CB-10-MG-1,SA18-CB-10-MG1,SA18-CB-10-MG1,Diversity,1_2,CB,GOM,SA18-CB-10
