GametophyteID,Keeper,Site,Sex,Location,# Crosses,Parent,Tray_Number_atUCONN,Total_biomass,# Clean,# Green,Generation
SL18-NL-5-MG3,UCONN,GOM,M,NL,5,SL18-NL-5,17,H,x,NA,GP
SL18-NL-7-MG1,UCONN,GOM,M,NL,5,SL18-NL-7,17,H,x,NA,GP
SL18-NL-9-MG2,UCONN,GOM,M,NL,5,SL18-NL-9,17,H,x,NA,GP
SL18-NL-9-MG3,UCONN,GOM,M,NL,5,SL18-NL-9,17,H,x,NA,GP
SL18-OI-9-MG3,UCONN,GOM,M,OI,5,SL18-OI-9,18,H,x,NA,GP
SL18-OI-11-MG4,UCONN,GOM,M,OI,5,SL18-OI-11,18,H,x,NA,GP
SL18-OI-14-MG1,UCONN,GOM,M,OI,5,SL18-OI-14,18,H,x,NA,GP
SL18-OI-14-MG2,UCONN,GOM,M,OI,5,SL18-OI-14,18,H,x,NA,GP
SL18-OI-15-MG2,UCONN,GOM,M,OI,5,SL18-OI-15,18,H,x,NA,GP
SL18-OI-15-MG3,UCONN,GOM,M,OI,0,SL18-OI-15,18,NA,x,NA,GP
SL18-OI-16-MG1,UCONN,GOM,M,OI,5,SL18-OI-16,18,H,x,NA,GP
SL18-OI-16-MG2,UCONN,GOM,M,OI,5,SL18-OI-16,18,H,x,NA,GP
SL18-OI-16-MG3,UCONN,GOM,M,OI,5,SL18-OI-16,18,H,x,NA,GP
SL18-OI-4-MG1,UCONN,GOM,M,OI,4,SL18-OI-4,19,H,x,NA,GP
SL18-OI-17-MG1,UCONN,GOM,M,OI,5,SL18-OI-17,19,H,x,NA,GP
SL18-OI-17-MG3,UCONN,GOM,M,OI,5,SL18-OI-17,19,H,x,NA,GP
SL18-OI-18-MG1,UCONN,GOM,M,OI,5,SL18-OI-18,19,H,x,NA,GP
SL18-OI-18-MG3,UCONN,GOM,M,OI,5,SL18-OI-18,19,H,x,NA,GP
SL18-OI-18-MG4,UCONN,GOM,M,OI,5,SL18-OI-18,19,H,x,NA,GP
SL18-FW-14-FG1,UCONN,SNE,F,FW,4,SL18-FW-14,20,H,x,NA,GP
SL18-FW-14-FG2,UCONN,SNE,F,FW,4,SL18-FW-14,20,H,x,NA,GP
SL18-FW-14-FG11,UCONN,SNE,F,FW,4,SL18-FW-14,20,M,x,NA,GP
SL18-FW-14-FG12,UCONN,SNE,F,FW,3,SL18-FW-14,20,H,x,NA,GP
SL18-FW-14-FG13,UCONN,SNE,F,FW,4,SL18-FW-14,20,M,x,NA,GP
SL18-FI-1-FG2,UCONN,SNE,F,FI,3,SL18-FI-1,21,M,x,NA,GP
SL18-FI-1-FG10,UCONN,SNE,F,FI,3,SL18-FI-1,21,M,x,NA,GP
SL18-FI-1-FG12,UCONN,SNE,F,FI,1,SL18-FI-1,21,L,x,NA,GP
SL18-FI-2-FG10,UCONN,SNE,F,FI,3,SL18-FI-2,21,M,x,NA,GP
SL18-JS-9-FG2,UCONN,GOM,F,JS,5,SL18-JS-9,21,H,x,NA,GP
SL18-JS-19-FG2,UCONN,GOM,F,JS,5,SL18-JS-19,21,H,x,NA,GP
SA18-CB-1-FG2,UCONN,GOM,F,CB,4,SA18-CB-1,22,M,x,NA,GP
SA18-CB-2-FG1,UCONN,GOM,F,CB,0,SA18-CB-2,22,NA,x,NA,GP
SA18-CB-4-FG6,UCONN,GOM,F,CB,4,SA18-CB-4,22,M,x,NA,GP
SA18-CB-5-FG3,UCONN,GOM,F,CB,2,SA18-CB-5,22,L,x,NA,GP
SA18-CB-7-FG2,UCONN,GOM,F,CB,0,SA18-CB-7,22,NA,x,NA,GP
SL18-OI-5-FG5,UCONN,GOM,F,OI,0,SL18-OI-5,23,NA,x,NA,GP
SL18-OI-6-FG2,UCONN,GOM,F,OI,5,SL18-OI-6,23,H,x,NA,GP
SL18-OI-6-FG3,UCONN,GOM,F,OI,5,SL18-OI-6,23,H,x,NA,GP
SL18-OI-11-FG3,UCONN,GOM,F,OI,5,SL18-OI-11,23,H,x,NA,GP
SL18-OI-15-FG1,UCONN,GOM,F,OI,5,SL18-OI-15,23,H,x,NA,GP
SL18-OI-16-FG1,UCONN,GOM,F,OI,0,SL18-OI-16,23,NA,x,NA,GP
SL18-OI-16-FG3,UCONN,GOM,F,OI,5,SL18-OI-16,23,H,x,NA,GP
SL18-NL-7-FG4,UCONN,GOM,F,NL,3,SL18-NL-7,24,M,x,NA,GP
SL18-NL-10-FG2,UCONN,GOM,F,NL,3,SL18-NL-10,24,M,x,NA,GP
SL18-NL-10-FG3,UCONN,GOM,F,NL,3,SL18-NL-10,24,M,x,NA,GP
SL18-NL-2-FG1,UCONN,GOM,F,NL,5,SL18-NL-2,25,H,x,NA,GP
SL18-NL-2-FG2,UCONN,GOM,F,NL,2,SL18-NL-2,25,M,x,NA,GP
SL18-NL-2-FG3,UCONN,GOM,F,NL,2,SL18-NL-2,25,M,x,NA,GP
SL18-NL-3-FG1,UCONN,GOM,F,NL,3,SL18-NL-3,25,M,x,NA,GP
SL18-NL-3-FG3,UCONN,GOM,F,NL,2,SL18-NL-3,25,M,x,NA,GP
SL18-NL-5-FG1,UCONN,GOM,F,NL,3,SL18-NL-5,25,M,x,NA,GP
SL18-NL-6-FG1,UCONN,GOM,F,NL,3,SL18-NL-6,25,M,x,NA,GP
SL18-NL-6-FG2,UCONN,GOM,F,NL,3,SL18-NL-6,25,M,x,NA,GP
SL18-NL-7-FG3,UCONN,GOM,F,NL,0,SL18-NL-7,25,NA,x,NA,GP
SL18-CC-5-FG1,UCONN,GOM,F,CC,3,SL18-CC-5,26,M,x,NA,GP
SL18-CC-8-FG2,UCONN,GOM,F,CC,2,SL18-CC-8,26,M,x,NA,GP
SL18-NC-15-FG2,UCONN,GOM,F,NC,5,SL18-NC-15,26,H,x,NA,GP
SL18-NC-15-FG3,UCONN,GOM,F,NC,4,SL18-NC-15,26,H,x,NA,GP
SL18-OD-3-FG2,UCONN,GOM,F,OD,2,SL18-OD-3,26,L,x,NA,GP
SL18-PI-1-FG10,UCONN,SNE,F,PI,3,SL18-PI-1,26,M,x,NA,GP
SL18-CC-1-FG1,UCONN,GOM,F,CC,5,SL18-CC-1,27,H,x,NA,GP
SL18-CC-1-FG3,UCONN,GOM,F,CC,2,SL18-CC-1,27,M,x,NA,GP
SL18-CC-3-FG1,UCONN,GOM,F,CC,5,SL18-CC-3,27,H,x,NA,GP
SL18-CC-3-FG3,UCONN,GOM,F,CC,5,SL18-CC-3,27,H,x,NA,GP
SL18-CC-5-FG3,UCONN,GOM,F,CC,5,SL18-CC-5,27,H,x,NA,GP
SL18-CC-6-FG2,UCONN,GOM,F,CC,5,SL18-CC-6,27,H,x,NA,GP
SL18-CC-8-FG1,UCONN,GOM,F,CC,5,SL18-CC-8,27,H,x,NA,GP
SL18-CC-8-FG3,UCONN,GOM,F,CC,0,SL18-CC-8,27,NA,x,NA,GP
SL18-CC-12-FG2,UCONN,GOM,F,CC,5,SL18-CC-12,27,H,x,NA,GP
SL18-OI-9-FG2,UCONN,GOM,F,OI,2,SL18-OI-9,28,M,x,NA,GP
SL18-OI-15-FG3,UCONN,GOM,F,OI,1,SL18-OI-15,28,L,x,NA,GP
SL18-PI-1-FG3,UCONN,SNE,F,PI,3,SL18-PI-1,28,M,x,NA,GP
SL18-SF-13-FG2,UCONN,GOM,F,SF,5,SL18-SF-13,28,H,x,NA,GP
SL18-SF-17-FG2,UCONN,GOM,F,SF,5,SL18-SF-17,28,H,x,NA,GP
SL18-TI-4-FG3,UCONN,SNE,F,TI,3,SL18-TI-4,28,M,x,NA,GP
SL18-BL-18-FG10,UCONN,SNE,F,BL,3,SL18-BL-18,29,M,x,NA,GP
SL18-BL-18-FG11,UCONN,SNE,F,BL,4,SL18-BL-18,29,H,x,NA,GP
SL18-FI-1-FG11,UCONN,SNE,F,FI,2,SL18-FI-1,29,L,x,NA,GP
SL18-FI-1-FG13,UCONN,SNE,F,FI,2,SL18-FI-1,29,L,x,NA,GP
SL18-FI-2-FG1,UCONN,SNE,F,FI,2,SL18-FI-2,29,L,x,NA,GP
SL18-OD-5-FG1,UCONN,GOM,F,OD,3,SL18-OD-5,29,M,x,NA,GP
SA18-CB-7-FG1,UCONN,GOM,F,CB,2,SA18-CB-7,30,L,x,NA,GP
SL18-LD-13-FG2,UCONN,GOM,F,LD,1,SL18-LD-13,30,L,x,NA,GP
SL18-NL-3-FG2,UCONN,GOM,F,NL,2,SL18-NL-3,30,L,x,NA,GP
SL18-NL-6-FG3,UCONN,GOM,F,NL,2,SL18-NL-6,30,L,x,NA,GP
SL18-NL-9-FG2,UCONN,GOM,F,NL,1,SL18-NL-9,30,L,x,NA,GP
SL18-NL-10-FG1,UCONN,GOM,F,NL,2,SL18-NL-10,30,M,x,NA,GP
SL18-OI-4-FG2,UCONN,GOM,F,OI,2,SL18-OI-4,30,L,x,NA,GP
SL18-OI-17-FG1,UCONN,GOM,F,OI,1,SL18-OI-17,30,L,x,NA,GP
SL18-JS-5-FG1,UCONN,GOM,F,JS,5,SL18-JS-5,31,H,x,NA,GP
SL18-JS-5-FG2,UCONN,GOM,F,JS,5,SL18-JS-5,31,H,x,NA,GP
SL18-JS-6-FG2,UCONN,GOM,F,JS,5,SL18-JS-6,31,H,x,NA,GP
SL18-JS-6-FG3,UCONN,GOM,F,JS,5,SL18-JS-6,31,H,x,NA,GP
SL18-JS-9-FG3,UCONN,GOM,F,JS,5,SL18-JS-9,31,H,x,NA,GP
SL18-JS-16-FG1,UCONN,GOM,F,JS,5,SL18-JS-16,31,H,x,NA,GP
SL18-JS-16-FG3,UCONN,GOM,F,JS,3,SL18-JS-16,31,M,x,NA,GP
SL18-JS-19-FG3,UCONN,GOM,F,JS,4,SL18-JS-19,31,H,x,NA,GP
SL18-JS-19-FG5,UCONN,GOM,F,JS,3,SL18-JS-19,31,M,x,NA,GP
SL18-NC-1-FG1,UCONN,GOM,F,NC,4,SL18-NC-1,32,M,x,NA,GP
SL18-NC-5-FG2,UCONN,GOM,F,NC,4,SL18-NC-5,32,M,x,NA,GP
SL18-NC-5-FG3,UCONN,GOM,F,NC,4,SL18-NC-5,32,M,x,NA,GP
SL18-NC-5-FG3,UCONN,GOM,F,NC,4,SL18-NC-5,32,H,x,NA,GP
SL18-NC-8-FG1,UCONN,GOM,F,NC,3,SL18-NC-8,32,M,x,NA,GP
SL18-NC-10-FG1,UCONN,GOM,F,NC,4,SL18-NC-10,32,H,x,NA,GP
SL18-NC-12-FG2,UCONN,GOM,F,NC,4,SL18-NC-12,32,M,x,NA,GP
SL18-NC-15-FG1,UCONN,GOM,F,NC,5,SL18-NC-15,32,H,x,NA,GP
SL18-CC-1-FG2,UCONN,GOM,F,CC,5,SL18-CC-1,33,H,x,NA,GP
