"","Indiv","Trait","Sex","Born","Breed","isCandidate","Age","Class","c0","c1","lb","oc","ub","Ne","oc_using_AshFDWpM","AshFDWpM","oc_using_DWpM","DWpM","loc","Region"
"SL18-NL-7-FG42","SL18-NL-7-FG4",-0.0536027395435604,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00000205782811289461,0.999999999320068,"Ne60",0.00000205782811289461,-0.0536027395435604,0.00000205782811289461,-0.0536027395435604,"NL","GOM"
"SL18-CC-3-FG32","SL18-CC-3-FG3",0.158484530629823,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0136386954264712,0.999999999320068,"Ne60",0.0136386954264712,0.158484530629823,0.0136386954264712,0.158484530629823,"CC","GOM"
"SL18-JS-19-FG32","SL18-JS-19-FG3",-0.108262280017808,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0000000887281575657078,0.999999999320068,"Ne60",0.0000000887281575657078,-0.108262280017808,0.0000000887281575657078,-0.108262280017808,"JS","GOM"
"SL18-NC-15-FG32","SL18-NC-15-FG3",-0.100485323824669,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000113246897306517,0.999999999320068,"Ne60",0.000000113246897306517,-0.100485323824669,0.000000113246897306517,-0.100485323824669,"NC","GOM"
"SL18-LL-9-FG22","SL18-LL-9-FG2",-0.0389695503399601,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00000378253533783205,0.999999999320068,"Ne60",0.00000378253533783205,-0.0389695503399601,0.00000378253533783205,-0.0389695503399601,"LL","GOM"
"SA18-CB-4-FG62","SA18-CB-4-FG6",0.192045539294579,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0267143659693204,0.999999999320068,"Ne60",0.0267143659693204,0.192045539294579,0.0267143659693204,0.192045539294579,"CB","GOM"
"SL18-JS-9-FG32","SL18-JS-9-FG3",-0.0969581580422,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000146158086418789,0.999999999320068,"Ne60",0.000000146158086418789,-0.0969581580422,0.000000146158086418789,-0.0969581580422,"JS","GOM"
"SL18-SF-13-FG22","SL18-SF-13-FG2",0.118649989365526,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0133098719474239,0.999999999320068,"Ne60",0.0133098719474239,0.118649989365526,0.0133098719474239,0.118649989365526,"SF","GOM"
"SL18-JS-19-FG22","SL18-JS-19-FG2",-0.0942469411311089,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000113903059768118,0.999999999320068,"Ne60",0.000000113903059768118,-0.0942469411311089,0.000000113903059768118,-0.0942469411311089,"JS","GOM"
"SL18-NL-5-FG12","SL18-NL-5-FG1",-0.00580692090985222,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000100446397889916,0.999999999320068,"Ne60",0.000100446397889916,-0.00580692090985222,0.000100446397889916,-0.00580692090985222,"NL","GOM"
"SL18-NC-8-FG12","SL18-NC-8-FG1",-0.051637420557425,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00000353079785582714,0.999999999320068,"Ne60",0.00000353079785582714,-0.051637420557425,0.00000353079785582714,-0.051637420557425,"NC","GOM"
"SL18-SF-19-MG22","SL18-SF-19-MG2",0.017155372004455,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.0032640276798991,0.999999999320068,"Ne60",0.0032640276798991,0.017155372004455,0.0032640276798991,0.017155372004455,"SF","GOM"
