crossID,Order_1,Year,plotNo,Region,plotNo_Numeric,date,GrowDays,Pain2Plant,femaPar,femaParLoc,malePar,maleParLoc,Crosses,crossID,PlantingDens,development,line,position,block,PhotoScore,wetWgtPlot,lengthPlot,wetWgtPerM,percDryWgt,dryWgtPerM,densityBlades
SL18-UCONN-34,34,2019,34,GOM,34,5_31_2019,122,,SL18-LD-2-FG2,LD,SL18-NL-9-MG1,NL,SL18-LD-2-FG2xSL18-NL-9-MG1,SL18-UCONN-34,2,1,3,TBD,6,2,0.43,0.71,0.605633803,9.82,0.04,20
SL18-UCONN-35,35,2019,35,GOM,35,5_30_2019,122,,SL18-LD-2-FG2,LD,SL18-SF-19-MG1,SF,SL18-LD-2-FG2xSL18-SF-19-MG1,SL18-UCONN-35,2,1,1,TBD,3,3,1.45,0.91,1.593406593,22.72,0.33,280
SL18-UCONN-36,36,2019,36,GOM,36,5_30_2019,122,,SL18-LD-3-FG1,LD,SA18-CB-10-MG1,CB,SL18-LD-3-FG1xSA18-CB-10-MG1,SL18-UCONN-36,1,1,3,TBD,2,1,0.97,0.82,1.182926829,12.92,0.13,20
SL18-UCONN-37,37,2019,37,GOM,37,5_31_2019,122,,SL18-LD-3-FG1,LD,SL18-NL-9-MG1,NL,SL18-LD-3-FG1xSL18-NL-9-MG1,SL18-UCONN-37,1,1,4,TBD,4,3,1.12,0.61,1.836065574,7.57,0.08,80
SL18-UCONN-38,38,2019,38,GOM,38,5_31_2019,122,,SL18-LD-3-FG1,LD,SL18-SF-19-MG2,SF,SL18-LD-3-FG1xSL18-SF-19-MG2,SL18-UCONN-38,2,1,4,TBD,9,2,1.47,0.91,1.615384615,15.64,0.23,140
SL18-UCONN-39,39,2019,39,GOM,39,5_30_2019,122,,SL18-LD-3-FG2,LD,SA18-CB-2-MG3,CB,SL18-LD-3-FG2xSA18-CB-2-MG3,SL18-UCONN-39,2,1,1,TBD,4,3,2.11,0.87,2.425287356,8.43,0.18,200
SL18-UCONN-40,40,2019,40,GOM,40,5_30_2019,122,,SL18-LD-3-FG2,LD,SL18-LL-9-MG2,LL,SL18-LD-3-FG2xSL18-LL-9-MG2,SL18-UCONN-40,2,1,3,TBD,5,3,3.07,0.77,3.987012987,6.12,0.19,460
SL18-UCONN-41,41,2019,41,GOM,41,5_29_2019,122,,SL18-LD-3-FG2,LD,SL18-SF-17-MG3,SF,SL18-LD-3-FG2xSL18-SF-17-MG3,SL18-UCONN-41,2,1,2,TBD,4,2,0.95,0.85,1.117647059,10.99,0.1,40
SL18-UCONN-42,42,2019,42,GOM,42,5_30_2019,122,,SL18-LD-3-FG3,LD,SL18-SF-13-MG2,SF,SL18-LD-3-FG3xSL18-SF-13-MG2,SL18-UCONN-42,2,1,1,TBD,4,1,0.11,0.87,0.126436782,14.29,0.02,0
SL18-UCONN-43,43,2019,43,GOM,43,5_29_2019,122,,SL18-LD-4-FG1,LD,SA18-CB-2-MG1,CB,SL18-LD-4-FG1xSA18-CB-2-MG1,SL18-UCONN-43,2,1,2,TBD,9,3,2.22,0.8,2.775,8.35,0.19,380
SL18-UCONN-44,44,2019,44,GOM,44,5_31_2019,122,,SL18-LD-4-FG1,LD,SL18-NL-3-MG2,NL,SL18-LD-4-FG1xSL18-NL-3-MG2,SL18-UCONN-44,2,1,3,TBD,8,3,1.56,0.86,1.813953488,8.83,0.14,240
SL18-UCONN-45,45,2019,45,GOM,45,5_30_2019,122,,SL18-LD-4-FG2,LD,SL18-LL-9-MG1,LL,SL18-LD-4-FG2xSL18-LL-9-MG1,SL18-UCONN-45,2,1,1,TBD,2,2,0.56,0.917,0.610687023,14.07,0.08,0
SL18-UCONN-46,46,2019,46,GOM,46,5_29_2019,122,,SL18-LD-4-FG2,LD,SL18-SF-15-MG2,SF,SL18-LD-4-FG2xSL18-SF-15-MG2,SL18-UCONN-46,2,1,2,TBD,2,3,3.03,0.73,4.150684932,8.91,0.27,200
SL18-UCONN-47,47,2019,47,GOM,47,5_30_2019,122,,SL18-LD-4-FG3,LD,SL18-SF-17-MG1,SF,SL18-LD-4-FG3xSL18-SF-17-MG1,SL18-UCONN-47,2,1,2,TBD,5,2,1.58,0.86,1.837209302,10.48,0.17,20
SL18-UCONN-48,48,2019,48,GOM,48,5_30_2019,122,,SL18-LD-5-FG1,LD,SA18-CB-10-MG1,CB,SL18-LD-5-FG1xSA18-CB-10-MG1,SL18-UCONN-48,1,4,1,TBD,4,2,1.22,0.94,1.29787234,10.29,0.13,40
SL18-UCONN-49,49,2019,49,GOM,49,5_31_2019,122,,SL18-LD-5-FG1,LD,SL18-SF-15-MG1,SF,SL18-LD-5-FG1xSL18-SF-15-MG1,SL18-UCONN-49,2,1,4,TBD,7,1,0.96,0.65,1.476923077,10.58,0.1,0
SL18-UCONN-50,50,2019,50,GOM,50,5_30_2019,122,,SL18-LD-5-FG2,LD,SL18-LD-3-MG2,LD,SL18-LD-5-FG2xSL18-LD-3-MG2,SL18-UCONN-50,2,1,3,TBD,1,1,1.34,0.76,1.763157895,9.29,0.12,0
SL18-UCONN-51,51,2019,51,GOM,51,5_29_2019,122,,SL18-LD-9-FG2,LD,SL18-SF-13-MG3,SF,SL18-LD-9-FG2xSL18-SF-13-MG3,SL18-UCONN-51,2,1,2,TBD,5,2,1.15,0.86,1.337209302,9.26,0.11,40
SL18-UCONN-52,52,2019,52,GOM,52,5_31_2019,122,,SL18-LD-9-FG3,LD,SA18-CB-2-MG1,CB,SL18-LD-9-FG3xSA18-CB-2-MG1,SL18-UCONN-52,1,1,4,TBD,3,1,0.48,0.65,0.738461538,16,0.08,20
SL18-UCONN-53,53,2019,53,GOM,53,5_30_2019,122,,SL18-LD-9-FG3,LD,SL18-NL-7-MG1,NL,SL18-LD-9-FG3xSL18-NL-7-MG1,SL18-UCONN-53,2,1,3,TBD,6,3,1.18,0.71,1.661971831,9.87,0.12,20
SL18-UCONN-54,54,2019,54,GOM,54,5_31_2019,122,,SL18-LD-9-FG3,LD,SL18-SF-17-MG1,SF,SL18-LD-9-FG3xSL18-SF-17-MG1,SL18-UCONN-54,1,4,4,TBD,7,3,3.21,0.9,3.566666667,8.91,0.29,340
SL18-UCONN-55,55,2019,55,GOM,55,5_30_2019,122,,SL18-LL-9-FG1,LL,SL18-LL-9-MG2,LL,SL18-LL-9-FG1xSL18-LL-9-MG2,SL18-UCONN-55,1,1,3,TBD,3,1,0.19,1,0.19,16.21,0.03,20
SL18-UCONN-56,56,2019,56,GOM,56,5_30_2019,122,,SL18-LL-9-FG3,LL,SL18-NL-9-MG1,NL,SL18-LL-9-FG3xSL18-NL-9-MG1,SL18-UCONN-56,2,1,1,TBD,3,3,0.4,0.73,0.547945205,0,0,220
SL18-UCONN-57,57,2019,57,GOM,57,5_30_2019,122,,SL18-NL-10-FG1,NL,SA18-CB-4-MG3,CB,SL18-NL-10-FG1xSA18-CB-4-MG3,SL18-UCONN-57,3,4,3,TBD,3,3,5.76,0.68,8.470588235,4.15,0.24,480
SL18-UCONN-58,58,2019,58,GOM,58,5_29_2019,122,,SL18-NL-10-FG1,NL,SL18-LD-2-MG1,LD,SL18-NL-10-FG1xSL18-LD-2-MG1,SL18-UCONN-58,2,1,2,TBD,8,2,0.54,0.94,0.574468085,12.34,0.07,120
SL18-UCONN-59,59,2019,59,GOM,59,5_30_2019,122,,SL18-NL-10-FG1,NL,SL18-LD-9-MG1,LD,SL18-NL-10-FG1xSL18-LD-9-MG1,SL18-UCONN-59,1,1,3,TBD,2,1,0.22,0.32,0.6875,12.88,0.03,0
SL18-UCONN-60,60,2019,60,GOM,60,5_30_2019,122,,SL18-NL-10-FG1,NL,SL18-OI-15-MG1,OI,SL18-NL-10-FG1xSL18-OI-15-MG1,SL18-UCONN-60,3,4,1,TBD,3,3,4.42,0.93,4.752688172,8.49,0.38,260
SL18-UCONN-62,61,2019,62,GOM,62,5_29_2019,122,,SL18-NL-10-FG1,NL,SL18-OI-7-MG1,OI,SL18-NL-10-FG1xSL18-OI-7-MG1,SL18-UCONN-62,2,4,2,TBD,4,3,4.24,0.89,4.764044944,8.02,0.34,580
SL18-UCONN-63,62,2019,63,GOM,63,5_31_2019,122,,SL18-NL-10-FG1,NL,SL18-SF-13-MG1,SF,SL18-NL-10-FG1xSL18-SF-13-MG1,SL18-UCONN-63,2,4,4,TBD,5,3,4.04,0.94,4.29787234,8.19,0.33,420
SL18-UCONN-64,63,2019,64,GOM,64,5_31_2019,122,,SL18-NL-10-FG2,NL,SA18-CB-2-MG2,CB,SL18-NL-10-FG2xSA18-CB-2-MG2,SL18-UCONN-64,2,1,4,TBD,4,0,0.07,1,NA,NA,NA,0
SL18-UCONN-65,64,2019,65,GOM,65,5_29_2019,122,,SL18-NL-10-FG2,NL,SL18-LD-13-MG3,LD,SL18-NL-10-FG2xSL18-LD-13-MG3,SL18-UCONN-65,2,1,2,TBD,1,0,0.07,0.86,NA,NA,NA,0
SL18-UCONN-66,65,2019,66,GOM,66,5_29_2019,122,,SL18-NL-10-FG2,NL,SL18-LL-9-MG1,LL,SL18-NL-10-FG2xSL18-LL-9-MG1,SL18-UCONN-66,1,1,2,TBD,7,0,0.07,0.9,NA,NA,NA,0
SL18-UCONN-67,66,2019,67,GOM,67,5_30_2019,122,,SL18-NL-10-FG2,NL,SL18-OI-11-MG2,OI,SL18-NL-10-FG2xSL18-OI-11-MG2,SL18-UCONN-67,2,1,3,TBD,3,1,0.1,1,0.1,11.25,0.01,0
SL18-UCONN-68,67,2019,68,GOM,68,5_31_2019,122,,SL18-NL-10-FG2,NL,SL18-OI-16-MG1,OI,SL18-NL-10-FG2xSL18-OI-16-MG1,SL18-UCONN-68,2,1,4,TBD,5,0,0.07,1,NA,NA,NA,0
SL18-UCONN-69,68,2019,69,GOM,69,5_30_2019,122,,SL18-NL-10-FG2,NL,SL18-OI-5-MG2,OI,SL18-NL-10-FG2xSL18-OI-5-MG2,SL18-UCONN-69,3,1,2,TBD,6,0,0.09,0.86,NA,NA,NA,0
SL18-UCONN-70,69,2019,70,GOM,70,5_31_2019,122,,SL18-NL-10-FG2,NL,SL18-OI-9-MG3,OI,SL18-NL-10-FG2xSL18-OI-9-MG3,SL18-UCONN-70,1,1,4,TBD,5,0,0.07,1,NA,NA,NA,0
SL18-UCONN-71,70,2019,71,GOM,71,5_30_2019,122,,SL18-NL-10-FG2,NL,SL18-SF-17-MG2,SF,SL18-NL-10-FG2xSL18-SF-17-MG2,SL18-UCONN-71,2,1,1,TBD,2,1,0.06,0.75,0.08,8.85,0.01,0
SL18-UCONN-72,71,2019,72,GOM,72,5_30_2019,122,,SL18-NL-10-FG3,NL,SL18-NL-3-MG2,NL,SL18-NL-10-FG3xSL18-NL-3-MG2,SL18-UCONN-72,2,4,1,TBD,7,2,0.43,0.91,0.472527473,10,0.04,100
SL18-UCONN-73,72,2019,73,GOM,73,5_29_2019,122,,SL18-NL-2-FG1,NL,SA18-CB-1-MG2,CB,SL18-NL-2-FG1xSA18-CB-1-MG2,SL18-UCONN-73,2,1,2,TBD,9,3,4.54,0.93,4.88172043,8.26,0.38,320
SL18-UCONN-74,73,2019,74,GOM,74,5_31_2019,122,,SL18-NL-2-FG1,NL,SL18-LD-10-MG1,LD,SL18-NL-2-FG1xSL18-LD-10-MG1,SL18-UCONN-74,2,1,4,TBD,8,0,0.07,1,NA,NA,NA,0
SL18-UCONN-75,74,2019,75,GOM,75,5_31_2019,122,,SL18-NL-2-FG1,NL,SL18-LD-13-MG2,LD,SL18-NL-2-FG1xSL18-LD-13-MG2,SL18-UCONN-75,2,4,3,TBD,7,3,3.27,0.86,3.802325581,9.37,0.31,520
SL18-UCONN-76,75,2019,76,GOM,76,5_30_2019,122,,SL18-NL-2-FG1,NL,SL18-SF-17-MG1,SF,SL18-NL-2-FG1xSL18-SF-17-MG1,SL18-UCONN-76,1,4,3,TBD,2,3,3.54,0.88,4.022727273,11.91,0.42,220
SL18-UCONN-77,76,2019,77,GOM,77,5_31_2019,122,,SL18-NL-2-FG3,NL,SA18-CB-2-MG3,CB,SL18-NL-2-FG3xSA18-CB-2-MG3,SL18-UCONN-77,1,1,4,TBD,1,3,1.78,0.89,2,9.65,0.17,120
SL18-UCONN-78,77,2019,78,GOM,78,5_29_2019,122,,SL18-NL-2-FG3,NL,SA18-CB-4-MG1,CB,SL18-NL-2-FG3xSA18-CB-4-MG1,SL18-UCONN-78,1,1,2,TBD,3,3,1.28,0.82,1.56097561,7.78,0.1,40
SL18-UCONN-79,78,2019,79,GOM,79,5_31_2019,122,,SL18-NL-2-FG3,NL,SL18-LD-3-MG2,LD,SL18-NL-2-FG3xSL18-LD-3-MG2,SL18-UCONN-79,2,1,4,TBD,4,3,1.31,0.73,1.794520548,9.38,0.12,0
SL18-UCONN-80,79,2019,80,GOM,80,5_31_2019,122,,SL18-NL-2-FG3,NL,SL18-OI-16-MG1,OI,SL18-NL-2-FG3xSL18-OI-16-MG1,SL18-UCONN-80,2,4,4,TBD,3,3,3.58,0.84,4.261904762,8.47,0.3,280
SL18-UCONN-81,80,2019,81,GOM,81,5_31_2019,122,,SL18-NL-2-FG3,NL,SL18-SF-15-MG1,SF,SL18-NL-2-FG3xSL18-SF-15-MG1,SL18-UCONN-81,1,1,3,TBD,8,1,0.19,0.91,0.208791209,10.98,0.02,0
SL18-UCONN-82,81,2019,82,GOM,82,5_30_2019,122,,SL18-NL-3-FG1,NL,SA18-CB-7-MG2,CB,SL18-NL-3-FG1xSA18-CB-7-MG2,SL18-UCONN-82,2,4,3,TBD,3,3,4.7,0.95,4.947368421,9.07,0.43,240
SL18-UCONN-83,82,2019,83,GOM,83,5_30_2019,122,,SL18-NL-3-FG1,NL,SL18-LL-9-MG1,LL,SL18-NL-3-FG1xSL18-LL-9-MG1,SL18-UCONN-83,1,1,1,TBD,9,0,0.07,0.89,0.078651685,9,0.01,0
SL18-UCONN-84,83,2019,84,GOM,84,5_31_2019,122,,SL18-NL-3-FG1,NL,SL18-OI-11-MG2,OI,SL18-NL-3-FG1xSL18-OI-11-MG2,SL18-UCONN-84,3,1,4,TBD,2,3,2.66,1.2,2.216666667,9.75,0.26,280
SL18-UCONN-85,84,2019,85,GOM,85,5_31_2019,122,,SL18-NL-3-FG1,NL,SL18-SF-13-MG2,SF,SL18-NL-3-FG1xSL18-SF-13-MG2,SL18-UCONN-85,3,1,4,TBD,5,3,1.68,0.92,1.826086957,12.06,0.2,160
SL18-UCONN-86,85,2019,86,GOM,86,5_31_2019,122,,SL18-NL-3-FG2,NL,SL18-NL-3-MG2,NL,SL18-NL-3-FG2xSL18-NL-3-MG2,SL18-UCONN-86,2,1,4,TBD,2,1,0.16,0.93,0.172043011,9.29,0.01,0
SL18-UCONN-87,86,2019,87,GOM,87,5_31_2019,122,,SL18-NL-3-FG2,NL,SL18-SF-17-MG2,SF,SL18-NL-3-FG2xSL18-SF-17-MG2,SL18-UCONN-87,2,4,4,TBD,8,3,6.16,0.87,7.08045977,7.45,0.46,480
SL18-UCONN-88,87,2019,88,GOM,88,5_31_2019,122,,SL18-NL-3-FG3,NL,SA18-CB-2-MG2,CB,SL18-NL-3-FG3xSA18-CB-2-MG2,SL18-UCONN-88,1,1,4,TBD,8,3,1.74,1.03,1.689320388,9.49,0.17,140
SL18-UCONN-89,88,2019,89,GOM,89,5_31_2019,122,,SL18-NL-3-FG3,NL,SL18-LD-13-MG3,LD,SL18-NL-3-FG3xSL18-LD-13-MG3,SL18-UCONN-89,3,1,4,TBD,1,0,0.07,1,NA,NA,NA,0
SL18-UCONN-90,89,2019,90,GOM,90,5_31_2019,122,,SL18-NL-3-FG3,NL,SL18-LD-1-MG2,LD,SL18-NL-3-FG3xSL18-LD-1-MG2,SL18-UCONN-90,1,1,4,TBD,8,0,0.07,1,NA,NA,NA,0
SL18-UCONN-91,90,2019,91,GOM,91,5_31_2019,122,,SL18-NL-3-FG3,NL,SL18-OI-14-MG2,OI,SL18-NL-3-FG3xSL18-OI-14-MG2,SL18-UCONN-91,3,1,4,TBD,6,0,0.07,1,NA,NA,NA,0
SL18-UCONN-92,91,2019,92,GOM,92,5_31_2019,122,,SL18-NL-3-FG3,NL,SL18-OI-18-MG1,OI,SL18-NL-3-FG3xSL18-OI-18-MG1,SL18-UCONN-92,2,1,4,TBD,3,0,0.07,1,NA,NA,NA,0
SL18-UCONN-93,92,2019,93,GOM,93,5_30_2019,122,,SL18-NL-3-FG3,NL,SL18-SF-19-MG1,SF,SL18-NL-3-FG3xSL18-SF-19-MG1,SL18-UCONN-93,1,1,1,TBD,7,0,0.07,0.85,NA,NA,NA,0
SL18-UCONN-94,93,2019,94,GOM,94,5_29_2019,122,,SL18-NL-6-FG1,NL,SA18-CB-3-MG3,CB,SL18-NL-6-FG1xSA18-CB-3-MG3,SL18-UCONN-94,3,4,2,TBD,2,3,7.62,1.08,7.055555556,6.24,0.48,620
SL18-UCONN-95,94,2019,95,GOM,95,5_30_2019,122,,SL18-NL-6-FG1,NL,SA18-CB-7-MG2,CB,SL18-NL-6-FG1xSA18-CB-7-MG2,SL18-UCONN-95,2,4,2,TBD,6,3,5.3,0.89,5.95505618,8.75,0.46,400
SL18-UCONN-96,95,2019,96,GOM,96,5_30_2019,122,,SL18-NL-6-FG1,NL,SL18-LD-1-MG2,LD,SL18-NL-6-FG1xSL18-LD-1-MG2,SL18-UCONN-96,2,1,1,TBD,2,3,2.05,0.91,2.252747253,8.96,0.18,360
SL18-UCONN-97,96,2019,97,GOM,97,5_30_2019,122,,SL18-NL-6-FG1,NL,SL18-LD-2-MG1,LD,SL18-NL-6-FG1xSL18-LD-2-MG1,SL18-UCONN-97,2,4,2,TBD,5,3,3.58,0.92,3.891304348,7.67,0.27,400
SL18-UCONN-98,97,2019,98,GOM,98,5_30_2019,122,,SL18-NL-6-FG1,NL,SL18-LD-3-MG2,LD,SL18-NL-6-FG1xSL18-LD-3-MG2,SL18-UCONN-98,3,4,3,TBD,5,3,4.51,0.88,5.125,7.7,0.35,600
SL18-UCONN-99,98,2019,99,GOM,99,5_30_2019,122,,SL18-NL-6-FG1,NL,SL18-NL-2-MG1,NL,SL18-NL-6-FG1xSL18-NL-2-MG1,SL18-UCONN-99,2,4,1,TBD,6,3,2.69,0.94,2.861702128,9.09,0.24,420
