"","V1","V2"
"316","SL18-LD-10-FG2xSL18-NL-3-MG2","CrossesSA18-CB-7-FG1xSL18-LD-1-MG1"
"317","SL18-NL-9-FG2xSA18-CB-7-MG1","CrossesSA18-CB-7-FG1xSL18-LL-9-MG3"
"318","SL18-NL-9-FG2xSL18-SF-19-MG1","CrossesSA18-CB-9-FG1xSL18-JS-19-MG1"
"319","SL18-OI-11-FG1xSL18-SF-15-MG2","CrossesSA18-CB-9-FG1xSL18-JS-5-MG3"
"320","SL18-OI-15-FG1xSA18-CB-2-MG3","CrossesSA18-CB-9-FG1xSL18-OI-7-MG3"
"321","SL18-OI-15-FG1xSL18-NL-5-MG1","CrossesSL18-CC-1-FG1xSL18-CC-4-MG11"
"322","SL18-OI-15-FG1xSL18-SF-15-MG1","CrossesSL18-CC-1-FG1xSL18-NC-15-MG3"
"323","SL18-OI-16-FG3xSA18-CB-4-MG3","CrossesSL18-CC-1-FG1xSL18-OI-16-MG3"
"324","SL18-OI-16-FG3xSA18-CB-5-MG3","CrossesSL18-CC-1-FG2xSL18-NC-11-MG2"
"325","SL18-LD-13-FG2xSL18-LD-13-MG2","CrossesSL18-CC-1-FG2xSL18-OI-16-MG1"
"326","SL18-OI-16-FG3xSL18-LD-3-MG2","CrossesSL18-CC-1-FG2xSL18-OI-16-MG3"
"327","SL18-OI-16-FG3xSL18-NL-6-MG1","CrossesSL18-CC-1-FG3xSL18-OI-9-MG2"
"328","SL18-OI-16-FG3xSL18-SF-17-MG2","CrossesSL18-CC-10-FG4xSL18-NC-2-MG2"
"329","SL18-OI-17-FG1xSL18-SF-13-MG2","CrossesSL18-CC-11-FG3xSA18-CB-3-MG3"
"330","SL18-OI-17-FG2xSL18-SF-17-MG2","CrossesSL18-CC-11-FG3xSL18-CC-3-MG1"
"331","SL18-OI-18-FG1xSL18-OI-9-MG3","CrossesSL18-CC-11-FG3xSL18-JS-16-MG1"
"332","SL18-OI-18-FG2xSA18-CB-7-MG1","CrossesSL18-CC-11-FG3xSL18-NC-2-MG3"
"333","SL18-OI-18-FG2xSL18-LD-10-MG1","CrossesSL18-CC-12-FG2xSL18-LL-9-MG4"
"334","SL18-OI-18-FG2xSL18-LD-9-MG1","CrossesSL18-CC-12-FG2xSL18-OI-15-MG2"
"335","SL18-OI-18-FG2xSL18-NL-2-MG2","CrossesSL18-CC-12-FG3xSL18-NC-11-MG2"
"336","SL18-OI-18-FG2xSL18-LD-2-MG3","CrossesSL18-CC-12-FG3xSL18-OI-15-MG2"
"337","SL18-OI-18-FG3xSL18-LL-9-MG1","CrossesSL18-CC-12-FG3xSL18-OI-15-MG3"
"338","SL18-OI-18-FG3xSL18-OI-7-MG1","CrossesSL18-CC-3-FG1xSL18-JS-11-MG2"
"339","SL18-OI-18-FG5xSA18-CB-4-MG3","CrossesSL18-CC-3-FG1xSL18-JS-5-MG2"
"340","SL18-OI-18-FG5xSL18-LD-2-MG1","CrossesSL18-CC-3-FG1xSL18-JS-6-MG3"
"341","SL18-OI-18-FG5xSL18-SF-15-MG2","CrossesSL18-CC-3-FG1xSL18-OI-16-MG2"
"342","SL18-OI-18-FG6xSA18-CB-1-MG2","CrossesSL18-CC-3-FG2xSA18-CB-10-MG3"
"343","SL18-OI-18-FG6xSL18-NL-6-MG1","CrossesSL18-CC-3-FG2xSA18-CB-4-MG2"
"344","SL18-OI-2-FG2xSL18-LD-1-MG2","CrossesSL18-CC-3-FG2xSL18-OD-6-MG1"
"345","SL18-LD-1-FG1xSL18-NL-2-MG2","CrossesSL18-CC-3-FG2xSL18-OI-11-MG3"
"346","SL18-OI-2-FG3xSL18-NL-9-MG1","CrossesSL18-CC-3-FG3xSL18-OD-6-MG3"
"347","SL18-OI-2-FG3xSL18-SF-17-MG1","CrossesSL18-CC-5-FG1xSL18-JS-9-MG1"
"348","SL18-OI-6-FG1xSA18-CB-2-MG1","CrossesSL18-CC-5-FG2xSA18-CB-10-MG1"
"349","SL18-OI-6-FG1xSA18-CB-4-MG1","CrossesSL18-CC-5-FG2xSL18-NC-10-MG2"
"350","SL18-OI-6-FG1xSL18-LD-13-MG2","CrossesSL18-CC-5-FG2xSL18-NC-9-MG2"
"351","SL18-OI-6-FG1xSL18-LD-2-MG1","CrossesSL18-CC-5-FG3xSA18-CB-1-MG12"
"352","SL18-OI-6-FG1xSL18-LD-5-MG1","CrossesSL18-CC-5-FG3xSL18-JS-19-MG2"
"353","SL18-LD-1-FG1xSL18-OI-18-MG1","CrossesSL18-CC-5-FG3xSL18-JS-5-MG2"
"354","SL18-OI-6-FG1xSL18-NL-9-MG1","CrossesSL18-CC-5-FG3xSL18-OI-14-MG1"
"355","SL18-OI-6-FG1xSL18-SF-15-MG1","CrossesSL18-CC-6-FG1xSL18-JS-5-MG2"
"356","SL18-OI-6-FG1xSL18-SF-19-MG1","CrossesSL18-CC-6-FG2xSL18-OI-11-MG4"
"357","SL18-OI-7-FG3xSA18-CB-2-MG3","CrossesSL18-CC-6-FG2xSL18-OI-14-MG1"
"358","SL18-OI-9-FG1xSL18-LL-9-MG2","CrossesSL18-CC-6-FG3xSL18-JS-9-MG2"
"359","SL18-SF-13-FG1xSL18-LL-9-MG3","CrossesSL18-CC-6-FG3xSL18-OI-14-MG2"
"360","SL18-LD-1-FG2xSA18-CB-4-MG3","CrossesSL18-CC-8-FG1xSL18-NC-8-MG2"
"361","SL18-SF-17-FG1xSL18-LL-9-MG1","CrossesSL18-CC-8-FG1xSL18-OI-18-MG3"
"362","SL18-SF-17-FG3xSA18-CB-10-MG1","CrossesSL18-CC-8-FG1xSL18-OI-7-MG1"
"363","SL18-SF-17-FG3xSA18-CB-3-MG3","CrossesSL18-CC-8-FG2xSL18-JS-5-MG3"
"364","SL18-SF-17-FG3xSL18-LD-2-MG1","CrossesSL18-CC-8-FG2xSL18-LD-9-MG1"
"365","SL18-SF-17-FG3xSL18-NL-10-MG2","CrossesSL18-CC-8-FG2xSL18-NC-5-MG3"
"366","SL18-SF-17-FG3xSL18-NL-2-MG3","CrossesSL18-CC-9-FG3xSL18-JS-9-MG3"
"367","SL18-SF-17-FG3xSL18-NL-9-MG1","CrossesSL18-JS-16-FG1xSL18-CC-4-MG11"
"368","SL18-SF-17-FG3xSL18-OI-7-MG1","CrossesSL18-JS-16-FG1xSL18-LD-2-MG2"
"369","SL18-SF-17-FG3xSL18-OI-9-MG3","CrossesSL18-JS-16-FG3xSA18-CB-4-MG3"
"370","SA18-CB-10-FG2xSL18-LL-9-MG1","CrossesSL18-JS-16-FG3xSL18-NC-10-MG3"
"371","SL18-LD-1-FG2xSL18-SF-13-MG3","CrossesSL18-JS-16-FG3xSL18-OD-6-MG2"
"372","SL18-LD-1-FG2xSL18-SF-15-MG1","CrossesSL18-JS-19-FG2xSA18-CB-10-MG3"
"373","SL18-LD-1-FG3xSL18-NL-5-MG1","CrossesSL18-JS-19-FG3xSA18-CB-3-MG2"
"374","SL18-LD-1-FG3xSL18-OI-11-MG2","CrossesSL18-JS-19-FG3xSL18-LD-13-MG3"
"375","SL18-LD-1-FG3xSL18-OI-15-MG1","CrossesSL18-JS-19-FG3xSL18-OI-17-MG1"
"376","SL18-LD-1-FG3xSL18-OI-16-MG1","CrossesSL18-JS-5-FG1xSA18-CB-1-MG12"
"377","SL18-LD-1-FG3xSL18-OI-6-MG2","CrossesSL18-JS-5-FG1xSL18-LD-2-MG4"
"378","SL18-LD-1-FG3xSL18-OI-7-MG1","CrossesSL18-JS-5-FG1xSL18-OI-14-MG1"
"379","SL18-LD-1-FG3xSL18-OI-9-MG3","CrossesSL18-JS-5-FG2xSL18-OI-5-MG3"
"380","SA18-CB-4-FG3xSA18-CB-4-MG3","CrossesSL18-JS-9-FG3xSA18-CB-10-MG1"
"381","SL18-LD-1-FG3xSL18-NL-9-MG2","CrossesSL18-LD-1-FG1xSL18-NL-2-MG2"
"382","SL18-LD-1-FG3xSL18-OI-15-MG2","CrossesSL18-LD-1-FG1xSL18-OI-18-MG1"
"383","SL18-LD-2-FG2xSA18-CB-3-MG3","CrossesSL18-LD-1-FG2xSA18-CB-4-MG3"
"384","SL18-LD-2-FG2xSL18-LL-9-MG2","CrossesSL18-LD-1-FG2xSL18-SF-13-MG3"
"385","SL18-LD-2-FG2xSL18-NL-9-MG1","CrossesSL18-LD-1-FG2xSL18-SF-15-MG1"
"386","SL18-LD-2-FG2xSL18-SF-19-MG1","CrossesSL18-LD-1-FG3xSL18-NL-5-MG1"
"387","SL18-LD-3-FG1xSL18-NL-9-MG1","CrossesSL18-LD-1-FG3xSL18-NL-9-MG2"
"388","SL18-LD-3-FG1xSL18-SF-19-MG2","CrossesSL18-LD-1-FG3xSL18-OI-11-MG2"
"389","SL18-LD-3-FG2xSA18-CB-2-MG3","CrossesSL18-LD-1-FG3xSL18-OI-15-MG1"
"390","SL18-LD-3-FG2xSL18-LL-9-MG2","CrossesSL18-LD-1-FG3xSL18-OI-15-MG2"
"391","SL18-LD-3-FG2xSL18-SF-17-MG3","CrossesSL18-LD-1-FG3xSL18-OI-16-MG1"
"392","SL18-LD-4-FG1xSA18-CB-2-MG1","CrossesSL18-LD-1-FG3xSL18-OI-6-MG2"
"393","SL18-LD-4-FG1xSL18-NL-3-MG2","CrossesSL18-LD-1-FG3xSL18-OI-7-MG1"
"394","SL18-LD-4-FG2xSL18-LL-9-MG1","CrossesSL18-LD-1-FG3xSL18-OI-9-MG3"
"395","SL18-LD-4-FG2xSL18-SF-15-MG2","CrossesSL18-LD-10-FG1xSA18-CB-1-MG2"
"396","SL18-LD-4-FG3xSL18-SF-17-MG1","CrossesSL18-LD-10-FG1xSL18-OI-18-MG1"
"397","SL18-LD-5-FG1xSA18-CB-10-MG1","CrossesSL18-LD-10-FG1xSL18-OI-4-MG1"
"398","SA18-CB-7-FG1xSL18-LL-9-MG3","CrossesSL18-LD-10-FG2xSA18-CB-7-MG2"
"399","SL18-LD-9-FG2xSL18-SF-13-MG3","CrossesSL18-LD-10-FG2xSL18-NL-3-MG2"
"400","SL18-LD-9-FG3xSL18-NL-7-MG1","CrossesSL18-LD-13-FG2xSA18-CB-7-MG1"
"401","SL18-LD-9-FG3xSL18-SF-17-MG1","CrossesSL18-LD-13-FG2xSL18-LD-13-MG2"
"402","SL18-LL-9-FG3xSL18-NL-9-MG1","CrossesSL18-LD-2-FG2xSA18-CB-3-MG3"
"403","SL18-NL-10-FG1xSA18-CB-4-MG3","CrossesSL18-LD-2-FG2xSL18-LL-9-MG2"
"404","SL18-NL-10-FG1xSL18-LD-2-MG1","CrossesSL18-LD-2-FG2xSL18-NL-9-MG1"
"405","SL18-LD-10-FG1xSA18-CB-1-MG2","CrossesSL18-LD-2-FG2xSL18-SF-19-MG1"
"406","SL18-NL-10-FG1xSL18-OI-15-MG1","CrossesSL18-LD-3-FG1xSL18-NL-9-MG1"
"407","SL18-NL-10-FG1xSL18-OI-7-MG1","CrossesSL18-LD-3-FG1xSL18-SF-19-MG2"
"408","SL18-NL-10-FG1xSL18-SF-13-MG1","CrossesSL18-LD-3-FG2xSA18-CB-2-MG3"
"409","SL18-NL-10-FG3xSL18-NL-3-MG2","CrossesSL18-LD-3-FG2xSL18-LL-9-MG2"
"410","SL18-NL-2-FG1xSA18-CB-1-MG2","CrossesSL18-LD-3-FG2xSL18-SF-17-MG3"
"411","SL18-NL-2-FG1xSL18-LD-13-MG2","CrossesSL18-LD-4-FG1xSA18-CB-2-MG1"
"412","SL18-NL-2-FG1xSL18-SF-17-MG1","CrossesSL18-LD-4-FG1xSL18-NL-3-MG2"
"413","SL18-NL-2-FG3xSA18-CB-2-MG3","CrossesSL18-LD-4-FG2xSL18-LL-9-MG1"
"414","SL18-NL-2-FG3xSA18-CB-4-MG1","CrossesSL18-LD-4-FG2xSL18-SF-15-MG2"
"415","SL18-NL-2-FG3xSL18-LD-3-MG2","CrossesSL18-LD-4-FG3xSL18-SF-17-MG1"
"416","SL18-NL-2-FG3xSL18-OI-16-MG1","CrossesSL18-LD-5-FG1xSA18-CB-10-MG1"
"417","SL18-NL-3-FG1xSA18-CB-7-MG2","CrossesSL18-LD-9-FG2xSL18-SF-13-MG3"
"418","SL18-NL-3-FG1xSL18-OI-11-MG2","CrossesSL18-LD-9-FG3xSL18-NL-7-MG1"
"419","SL18-NL-3-FG1xSL18-SF-13-MG2","CrossesSL18-LD-9-FG3xSL18-SF-17-MG1"
"420","SL18-NL-3-FG2xSL18-SF-17-MG2","CrossesSL18-LD-9-FG4xSL18-OI-6-MG2"
"421","SL18-NL-3-FG3xSA18-CB-2-MG2","CrossesSL18-LL-9-FG2xSA18-CB-5-MG3"
"422","SL18-LD-10-FG1xSL18-OI-18-MG1","CrossesSL18-LL-9-FG3xSL18-NL-9-MG1"
"423","SL18-NL-6-FG1xSA18-CB-3-MG3","CrossesSL18-LL-9-FG6xSA18-CB-10-MG3"
"424","SL18-NL-6-FG1xSA18-CB-7-MG2","CrossesSL18-NC-1-FG1xSL18-NC-12-MG3"
"425","SL18-NL-6-FG1xSL18-LD-1-MG2","CrossesSL18-NC-10-FG1xSL18-NC-5-MG1"
"426","SL18-NL-6-FG1xSL18-LD-2-MG1","CrossesSL18-NC-10-FG1xSL18-OI-11-MG4"
"427","SL18-NL-6-FG1xSL18-LD-3-MG2","CrossesSL18-NC-10-FG3xSA18-CB-3-MG2"
