"","pedigree","gpSex","WWP","DWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-OD-5-FG1","SL18-OD-5-FG1","F",-0.247873601269663,-0.0706774803093063,-0.0686660529530266,1.85566238615011,0.46563197988356,-0.0308718445596826,-0.677049129354863,0.538669699227852,-0.45042364243036
"SL18-CC-1-FG3","SL18-CC-1-FG3","F",-0.0947342845048791,-0.0247736717723091,0.187564268640295,15.753580582464,0.21169012993752,-0.0447000883755082,-0.19067358948066,-0.370567881697991,-0.288490068238607
"SA18-CB-9-FG1","SA18-CB-9-FG1","F",0.507682919414939,0.187437059859877,0.910633976940551,-1.33186810618474,-0.233669568203936,0.102063920241951,-0.175406149765809,1.00061074311922,0.246646311525155
"SL18-CC-5-FG1","SL18-CC-5-FG1","F",0.235634732148366,0.0641686193938918,-0.626350795079738,-6.05460753059372,0.115908628380991,-0.282946813799426,0.507331566178799,-0.0136628739907436,0.139208668703642
"SL18-OI-15-FG1","SL18-OI-15-FG1","F",-0.0061976951263449,0.00225191893753242,0.197328167328027,-4.11850250775926,-0.254579731826722,0.0185732772521629,-0.38292535829301,0.389932436362084,-0.0684727024034733
"SL18-CC-12-FG3","SL18-CC-12-FG3","F",0.384838769157734,0.111795809316238,0.0684691353633763,71.5604239370091,-0.907125035645217,-0.134783415062799,0.139477306624519,-0.86335695944761,0.572250445412174
"SL18-SF-17-FG2","SL18-SF-17-FG2","F",0.467424021505599,0.10242135624347,-0.221784677858513,-17.6096432024167,-0.249400529967326,0.0111358471115288,0.460442938114674,0.104982443030837,0.792771596983119
"SL18-JS-5-FG1","SL18-JS-5-FG1","F",-0.47224275665506,-0.176968516789812,-1.26167786172198,-70.9420739668748,-0.0216421419016001,0.241140324852516,-1.050122992324,-0.387872158302939,-1.05525214431092
"SL18-OD-5-FG3","SL18-OD-5-FG3","F",-0.177208106700652,-0.0508312843203439,-0.0128623162004235,-1.84241138792527,0.338169245979134,0.18444674735523,-0.401017639324441,0.394902041518597,-0.449117778521911
"SL18-SF-13-FG1","SL18-SF-13-FG1","F",0.219423805227704,0.052249666021839,-0.272479963395727,2.36895787867654,-0.475063272681582,-0.0530250915724203,-0.38715025204837,0.372519434917714,-0.438720041930153
"SL18-LL-9-FG6","SL18-LL-9-FG6","F",-0.407337385915075,-0.108712778830085,-0.496747568460432,54.3283032607659,0.29131797709986,0.392243745717769,-0.716237542742367,0.727284171805445,-0.664854113044137
"SL18-OI-15-FG2","SL18-OI-15-FG2","F",0.190007638211598,0.0556703414717704,0.551778521459769,8.81447092243876,-0.396527492863944,-0.300264698975669,-0.1664058378493,0.847445919924591,-0.709087500101008
