"","pedigree","index","WWP","DWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-LD-1-FG3xSL18-OI-6-MG2","SL18-LD-1-FG3xSL18-OI-6-MG2",0.418916900329965,-0.0680060919023069,0.0214868202995604,0.375943259730844,-20.2447703215467,-0.291647105357034,-0.0459234998595864,0.0164730254609913,-0.211448834583804,-0.332516933417223
"SL18-LD-1-FG3xSL18-OI-7-MG1","SL18-LD-1-FG3xSL18-OI-7-MG1",-0.0237371667512261,-0.197529130303352,-0.0403627292776149,0.0569882918040037,34.9372757338829,-0.0474933922995116,0.150092284162158,0.235247928509935,0.185967414738354,-0.0109812149765051
"SL18-LD-1-FG3xSL18-OI-9-MG3","SL18-LD-1-FG3xSL18-OI-9-MG3",0.101711244044635,-0.196465603978752,-0.0382691744697588,0.178249592984153,2.93613108743064,-0.0450334267604662,0.195350008316699,0.160391472470406,-0.0680062943180918,-0.715577538416439
"SA18-CB-4-FG3xSA18-CB-4-MG3","SA18-CB-4-FG3xSA18-CB-4-MG3",-0.210603146549847,0.137620319670537,0.0131049066397072,-0.236812959829261,-32.5477283256614,0.0918611985110978,-0.246015626342372,0.0570002653978548,0.134051769613224,-0.033236062690268
"SL18-LD-1-FG3xSL18-NL-9-MG2","SL18-LD-1-FG3xSL18-NL-9-MG2",-0.165980696510786,-0.359681133788148,-0.0897000121559911,0.0134193278011962,-13.2847354305883,0.00594193107899016,0.141738684715362,-0.131938498123245,-0.0329383363484834,0.263585236342727
"SL18-LD-1-FG3xSL18-OI-15-MG2","SL18-LD-1-FG3xSL18-OI-15-MG2",0.298986729312075,0.0331035333635722,0.038396363387134,0.222194002537807,4.11404967080023,-0.258763075153348,0.0664325196191086,0.225121790498138,-0.239559578349208,0.165532926401678
"SL18-LD-2-FG2xSA18-CB-3-MG3","SL18-LD-2-FG2xSA18-CB-3-MG3",0.143825249051684,-0.0192582304212684,0.0315782337649652,0.0806687815217538,-5.07392162852773,0.134737585473004,0.223094572924959,-0.0491454022319357,-0.0822570965021752,-0.0347369487373588
"SL18-LD-2-FG2xSL18-LL-9-MG2","SL18-LD-2-FG2xSL18-LL-9-MG2",0.0346993609640405,-0.340320847285526,-0.0727162507612174,0.180131862486475,-53.7681744449916,0.158212779014113,-0.325984201314617,0.650216735581384,0.370051458879505,0.443745933994338
"SL18-LD-2-FG2xSL18-NL-9-MG1","SL18-LD-2-FG2xSL18-NL-9-MG1",-0.137410065262257,-0.533242348824522,-0.102237753444701,0.0670654416271445,-64.8566263215546,0.0185196478912576,0.0142189633664762,0.232380144690174,0.0293664620829986,0.110092118992396
"SL18-LD-2-FG2xSL18-SF-19-MG1","SL18-LD-2-FG2xSL18-SF-19-MG1",0.359631665423774,-0.387939133899086,-0.0642713289475612,0.488174323318897,-26.321603443564,0.0583809357234282,-0.00993982534820606,0.215044882319986,0.149974661488556,0.3816888956951
"SL18-LD-3-FG1xSL18-NL-9-MG1","SL18-LD-3-FG1xSL18-NL-9-MG1",-0.292273623106791,-0.433453230611905,-0.0930019311715176,-0.106269760763756,-32.6915072444354,-0.0998232581099202,-0.0149813626995806,-0.0084212292943197,-0.233174068650279,0.0641334179649484
"SL18-LD-3-FG1xSL18-SF-19-MG2","SL18-LD-3-FG1xSL18-SF-19-MG2",0.161040708414597,-0.112134896570117,-0.0275157841105188,0.216072276635634,15.566658283727,-0.0716480051796022,0.0851199794940708,0.222483521447105,-0.291518743310954,0.223068813657918
"SL18-LD-3-FG2xSA18-CB-2-MG3","SL18-LD-3-FG2xSA18-CB-2-MG3",0.025389678458423,-0.0696882600297379,-0.0194777714676384,0.0643452213936999,-30.0861864753312,-0.0260395008166825,0.189057436240191,-0.23952670673753,0.0606118598735281,-0.0251803277707277
"SL18-LD-3-FG2xSL18-LL-9-MG2","SL18-LD-3-FG2xSL18-LL-9-MG2",-0.207001567176121,-0.170180363209642,-0.0682407506627183,-0.0705200658506845,-6.09394039067771,0.135493455492852,-0.112765884390997,0.0214467418757772,0.255405144057045,0.475225879764337
"SL18-LD-3-FG2xSL18-SF-17-MG3","SL18-LD-3-FG2xSL18-SF-17-MG3",-0.00501077419666809,-0.111957647622705,-0.0250804685817545,0.0451501629668408,-18.6389746260513,-0.0109784074308772,0.376771932521834,0.319238701182566,-0.267900609598532,0.101480829215398
"SL18-LD-4-FG1xSA18-CB-2-MG1","SL18-LD-4-FG1xSA18-CB-2-MG1",0.00818761055098903,-0.178524329648554,-0.0427059636903174,0.0935995379316238,-17.6702405049688,0.0907652051495043,0.168825017284053,0.0538649198967296,-0.0724563613362042,0.15879488303542
"SL18-LD-4-FG1xSL18-NL-3-MG2","SL18-LD-4-FG1xSL18-NL-3-MG2",-0.170420545596176,-0.342482659277769,-0.088605140303628,0.00678973501107977,-19.995962342354,-0.00439131593394932,-0.0521658920684441,0.0232954217098684,0.0434362552527295,0.336144734000898
"SL18-LD-4-FG2xSL18-LL-9-MG1","SL18-LD-4-FG2xSL18-LL-9-MG1",-0.109591856053748,-0.461528739988707,-0.10505813674935,0.100524417444952,-67.8335968219967,0.073518841790053,-0.210514315513035,0.345369163677378,0.0889721423273377,0.560079992687096
"SL18-LD-4-FG2xSL18-SF-15-MG2","SL18-LD-4-FG2xSL18-SF-15-MG2",-0.00472839876681049,0.048244356302073,-0.00241487515781014,0.000101351548809783,-16.5893153226136,0.0238651261094612,-0.154762495521063,0.2506399670842,0.154121016538132,0.503694580202588
"SL18-LD-4-FG3xSL18-SF-17-MG1","SL18-LD-4-FG3xSL18-SF-17-MG1",0.0867145722333654,-0.121446020603783,-0.0170123534324227,0.120739279098211,-54.8042300509102,0.02540529337018,-0.0459488844901358,0.287838157177754,0.0273196182892596,-0.0256841750959206
"SL18-LD-5-FG1xSA18-CB-10-MG1","SL18-LD-5-FG1xSA18-CB-10-MG1",0.0635913242141509,0.0729892451863992,0.0445020302709775,-0.025412736327804,-22.0905270686156,-0.107449796019497,-0.249862956360204,0.212647897226306,-0.108189291959789,0.398063998649713
"SA18-CB-7-FG1xSL18-LL-9-MG3","SA18-CB-7-FG1xSL18-LL-9-MG3",0.101390032819478,0.0996520524630366,0.0437078874240225,0.013974257971433,-16.6488777542569,0.14820833858502,-0.0491987018798683,-0.0596431081807588,0.412785359257533,0.15725784269736
"SL18-LD-9-FG2xSL18-SF-13-MG3","SL18-LD-9-FG2xSL18-SF-13-MG3",0.0748458143898569,-0.154052505359524,-0.0147219856915673,0.104289785772992,-27.0128821179989,0.116580434104741,-0.0843391191382625,0.111071327423668,0.0558893211243114,0.4671882256929
"SL18-LD-9-FG3xSL18-NL-7-MG1","SL18-LD-9-FG3xSL18-NL-7-MG1",-0.062687266754529,-0.391348623780929,-0.077140993858073,0.0915947209616169,-47.6085036940817,0.10135901498424,0.190921686296748,-0.154268498009844,0.180373764776273,0.388839382224633
"SL18-LD-9-FG3xSL18-SF-17-MG1","SL18-LD-9-FG3xSL18-SF-17-MG1",0.118714120208867,-0.0819777882371467,-0.000127862283696588,0.11896984477626,-47.7526628955232,0.068919248867014,0.306464444495969,-0.0155756618798134,-0.207600338504573,-0.0251963992416523
"SL18-LL-9-FG3xSL18-NL-9-MG1","SL18-LL-9-FG3xSL18-NL-9-MG1",-0.667620692185827,-0.543204603989702,-0.132060373540231,-0.403499945105366,-26.0163086128156,-0.0895433983093419,0.182042284688289,0.697199158000711,0.321861819462741,0.147193483618491
"SL18-NL-10-FG1xSA18-CB-4-MG3","SL18-NL-10-FG1xSA18-CB-4-MG3",-0.306425299696662,0.0965851351757679,-0.0205110938912374,-0.265403111914187,20.4380906500196,-0.170230317323794,-0.120884120409931,-0.333004561311445,-0.256569204214239,-0.279689706672137
"SL18-NL-10-FG1xSL18-LD-2-MG1","SL18-NL-10-FG1xSL18-LD-2-MG1",0.00204913155467257,-0.130483509865465,-0.0356002298475124,0.0732495912496974,12.6788234792083,-0.221835740233595,0.156257944390098,-0.124601467435933,0.00412751471585394,0.20886637772422
"SL18-LD-10-FG1xSA18-CB-1-MG2","SL18-LD-10-FG1xSA18-CB-1-MG2",0.0946126037098192,0.0714871874965554,0.00775471576737277,0.0791031721750736,-3.32954620206561,0.17018695790095,0.0759487900180176,0.423597837268882,-0.200653050419321,0.394351111718477
"SL18-NL-10-FG1xSL18-OI-15-MG1","SL18-NL-10-FG1xSL18-OI-15-MG1",-0.0201064915978185,0.246418873186755,0.0375248767196131,-0.0951562450370446,60.2852877685514,-0.223253064541509,0.143120395397735,0.41298039762293,-0.280838567567431,0.0843064573214234
"SL18-NL-10-FG1xSL18-OI-7-MG1","SL18-NL-10-FG1xSL18-OI-7-MG1",-0.242303070896942,0.0894132956746194,-0.00845707898810592,-0.22538891292073,82.790664163406,-0.242067605938226,0.0422150741860434,0.129287487086837,-0.025835831798354,0.043467868566121
"SL18-NL-10-FG1xSL18-SF-13-MG1","SL18-NL-10-FG1xSL18-SF-13-MG1",-0.0290469448375002,0.207245645837959,0.0372434536514816,-0.103533852140463,53.3643280761355,-0.154578772510099,-0.333912356914536,-0.409714875028522,-1.21306676781134,-1.38800834573517
"SL18-NL-10-FG3xSL18-NL-3-MG2","SL18-NL-10-FG3xSL18-NL-3-MG2",-0.295717604868745,-0.478320264461536,-0.100463955679602,-0.0947896935095403,-14.7343157380615,-0.275320517571626,0.285504816902174,0.543364961204614,0.26956078578961,-0.0534555198217959
"SL18-NL-2-FG1xSA18-CB-1-MG2","SL18-NL-2-FG1xSA18-CB-1-MG2",0.0260588158000153,0.144517303051386,0.0260612080706736,-0.0260636003413319,11.5261625571985,0.0576268469361052,0.0412708820502865,0.272059046234225,-0.279120233200464,-0.0449416911570263
"SL18-NL-2-FG1xSL18-LD-13-MG2","SL18-NL-2-FG1xSL18-LD-13-MG2",-0.024266216507859,-0.173382202664551,-0.0399081028350314,0.0555499891622038,17.0322930934487,-0.0544403898825726,0.293591126865354,0.0239208799347933,-0.138791033727413,0.184071973361775
"SL18-NL-2-FG1xSL18-SF-17-MG1","SL18-NL-2-FG1xSL18-SF-17-MG1",0.0556252017879617,0.0158255103579811,0.0182087626007484,0.019207676586465,-27.8164813773785,-0.0605625009598924,0.399947587821936,0.223176351124947,0.204515791238576,0.00811467113330433
"SL18-NL-2-FG3xSA18-CB-2-MG3","SL18-NL-2-FG3xSA18-CB-2-MG3",-0.152761511905491,-0.236255073279117,-0.0555093401118402,-0.0417428316818104,-62.187220742598,-0.192869880440323,0.353287504108083,0.404359186140016,0.144128306053579,-0.0532599850967883
"SL18-NL-2-FG3xSA18-CB-4-MG1","SL18-NL-2-FG3xSA18-CB-4-MG1",-0.373256160118101,-0.289481621839233,-0.0891272150956249,-0.195001729926851,-61.738474067509,-0.206097244131599,0.147245285387381,0.309087630670309,-0.267098494926038,-0.360763638594693
"SL18-NL-2-FG3xSL18-LD-3-MG2","SL18-NL-2-FG3xSL18-LD-3-MG2",-0.185255623800246,-0.309034679175068,-0.0841826713637929,-0.0168902810726598,-45.2441983487272,-0.0146958049911522,0.372902941092492,0.25554268943258,0.165370280013804,-0.195969454136277
"SL18-NL-2-FG3xSL18-OI-16-MG1","SL18-NL-2-FG3xSL18-OI-16-MG1",-0.235957341250422,-0.306294792487602,-0.112051456868982,-0.0118544275124574,-22.2499194504307,-0.359672518755007,0.179916275720367,0.0712250297098266,0.0317426073959498,-0.0246242358327038
