"","crossID","Order_1","Year","plotNo","Region","plotNo_Numeric","date","GrowDays","Pain2Plant","femaPar","femaParLoc","malePar","maleParLoc","Crosses","crossID.1","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","popChk","withinLoc","isSelf"
"172","SL18-UCONN-174",172,"2019","174","GOM","174","5_30_2019","122",NA,"SL18-OI-6-FG1","OI","SA18-CB-2-MG1","CB","SL18-OI-6-FG1xSA18-CB-2-MG1","SL18-UCONN-174",2,1,"1","TBD","4",2,0.57,1,0.57,12.82,0.07,60,"ES","0","0"
"173","SL18-UCONN-175",173,"2019","175","GOM","175","5_30_2019","122",NA,"SL18-OI-6-FG1","OI","SA18-CB-4-MG1","CB","SL18-OI-6-FG1xSA18-CB-4-MG1","SL18-UCONN-175",2,4,"1","TBD","4",3,2.75,0.91,3.021978022,6.92,0.19,180,"ES","0","0"
"174","SL18-UCONN-176",174,"2019","176","GOM","176","5_29_2019","122",NA,"SL18-OI-6-FG1","OI","SL18-LD-13-MG2","LD","SL18-OI-6-FG1xSL18-LD-13-MG2","SL18-UCONN-176",1,1,"2","TBD","3",2,1.58,0.65,2.430769231,9.9,0.16,180,"ES","0","0"
"175","SL18-UCONN-177",175,"2019","177","GOM","177","5_31_2019","122",NA,"SL18-OI-6-FG1","OI","SL18-LD-2-MG1","LD","SL18-OI-6-FG1xSL18-LD-2-MG1","SL18-UCONN-177",2,1,"4","TBD","1",3,2.36,0.88,2.681818182,9.83,0.23,160,"ES","0","0"
"176","SL18-UCONN-178",176,"2019","178","GOM","178","5_31_2019","122",NA,"SL18-OI-6-FG1","OI","SL18-LD-5-MG1","LD","SL18-OI-6-FG1xSL18-LD-5-MG1","SL18-UCONN-178",2,1,"3","TBD","9",3,3.76,0.97,3.87628866,4.29,0.16,260,"ES","0","0"
"18","SL18-UCONN-18",18,"2019","18","GOM","18","5_30_2019","122",NA,"SL18-LD-1-FG1","LD","SL18-OI-18-MG1","OI","SL18-LD-1-FG1xSL18-OI-18-MG1","SL18-UCONN-18",1,1,"3","TBD","1",3,1.9,0.86,2.209302326,9.74,0.18,340,"ES","0","0"
"178","SL18-UCONN-180",178,"2019","180","GOM","180","5_31_2019","122",NA,"SL18-OI-6-FG1","OI","SL18-NL-9-MG1","NL","SL18-OI-6-FG1xSL18-NL-9-MG1","SL18-UCONN-180",1,1,"4","TBD","2",2,1.73,0.76,2.276315789,10.87,0.19,120,"ES","0","0"
"179","SL18-UCONN-181",179,"2019","181","GOM","181","5_31_2019","122",NA,"SL18-OI-6-FG1","OI","SL18-SF-15-MG1","SF","SL18-OI-6-FG1xSL18-SF-15-MG1","SL18-UCONN-181",2,1,"4","TBD","3",3,2.67,0.82,3.256097561,8.81,0.24,220,"ES","0","0"
"180","SL18-UCONN-182",180,"2019","182","GOM","182","5_31_2019","122",NA,"SL18-OI-6-FG1","OI","SL18-SF-19-MG1","SF","SL18-OI-6-FG1xSL18-SF-19-MG1","SL18-UCONN-182",2,1,"4","TBD","2",3,1.47,0.84,1.75,8.22,0.12,80,"ES","0","0"
"181","SL18-UCONN-183",181,"2019","183","GOM","183","5_30_2019","122",NA,"SL18-OI-7-FG3","OI","SA18-CB-2-MG3","CB","SL18-OI-7-FG3xSA18-CB-2-MG3","SL18-UCONN-183",2,1,"3","TBD","5",3,1.67,0.75,2.226666667,9.71,0.16,260,"ES","0","0"
"184","SL18-UCONN-186",184,"2019","186","GOM","186","5_29_2019","122",NA,"SL18-OI-9-FG1","OI","SL18-LL-9-MG2","LL","SL18-OI-9-FG1xSL18-LL-9-MG2","SL18-UCONN-186",2,1,"2","TBD","9",3,2,0.85,2.352941176,8.49,0.17,300,"ES","0","0"
"187","SL18-UCONN-189",187,"2019","189","GOM","189","5_30_2019","122",NA,"SL18-SF-13-FG1","SF","SL18-LL-9-MG3","LL","SL18-SF-13-FG1xSL18-LL-9-MG3","SL18-UCONN-189",2,4,"3","TBD","4",3,2.04,0.93,2.193548387,12.02,0.25,80,"ES","0","0"
"19","SL18-UCONN-19",19,"2019","19","GOM","19","5_30_2019","122",NA,"SL18-LD-1-FG2","LD","SA18-CB-4-MG3","CB","SL18-LD-1-FG2xSA18-CB-4-MG3","SL18-UCONN-19",2,1,"3","TBD","3",3,5.14,0.77,6.675324675,8.91,0.46,180,"ES","0","0"
"188","SL18-UCONN-190",188,"2019","190","GOM","190","5_30_2019","122",NA,"SL18-SF-17-FG1","SF","SL18-LL-9-MG1","LL","SL18-SF-17-FG1xSL18-LL-9-MG1","SL18-UCONN-190",2,1,"1","TBD","9",2,1.01,0.91,1.10989011,10.27,0.1,80,"ES","0","0"
"190","SL18-UCONN-192",190,"2019","192","GOM","192","5_30_2019","122",NA,"SL18-SF-17-FG3","SF","SA18-CB-10-MG1","CB","SL18-SF-17-FG3xSA18-CB-10-MG1","SL18-UCONN-192",2,4,"1","TBD","1",3,4.25,0.9,4.722222222,7.46,0.32,420,"ES","0","0"
"191","SL18-UCONN-193",191,"2019","193","GOM","193","5_30_2019","122",NA,"SL18-SF-17-FG3","SF","SA18-CB-3-MG3","CB","SL18-SF-17-FG3xSA18-CB-3-MG3","SL18-UCONN-193",2,4,"1","TBD","4",3,1.97,0.83,2.373493976,8.83,0.17,20,"ES","0","0"
"192","SL18-UCONN-194",192,"2019","194","GOM","194","5_31_2019","122",NA,"SL18-SF-17-FG3","SF","SL18-LD-2-MG1","LD","SL18-SF-17-FG3xSL18-LD-2-MG1","SL18-UCONN-194",2,1,"4","TBD","6",2,1.59,0.92,1.72826087,9.29,0.15,240,"ES","0","0"
"193","SL18-UCONN-195",193,"2019","195","GOM","195","5_30_2019","122",NA,"SL18-SF-17-FG3","SF","SL18-NL-10-MG2","NL","SL18-SF-17-FG3xSL18-NL-10-MG2","SL18-UCONN-195",3,1,"1","TBD","8",2,0.55,0.95,0.578947368,10.99,0.06,160,"ES","0","0"
"194","SL18-UCONN-196",194,"2019","196","GOM","196","5_31_2019","122",NA,"SL18-SF-17-FG3","SF","SL18-NL-2-MG3","NL","SL18-SF-17-FG3xSL18-NL-2-MG3","SL18-UCONN-196",3,4,"4","TBD","4",3,2.64,0.81,3.259259259,8.47,0.22,0,"ES","0","0"
"195","SL18-UCONN-197",195,"2019","197","GOM","197","5_31_2019","122",NA,"SL18-SF-17-FG3","SF","SL18-NL-9-MG1","NL","SL18-SF-17-FG3xSL18-NL-9-MG1","SL18-UCONN-197",3,1,"4","TBD","9",3,2.75,0.89,3.08988764,8.55,0.24,260,"ES","0","0"
"196","SL18-UCONN-198",196,"2019","198","GOM","198","5_29_2019","122",NA,"SL18-SF-17-FG3","SF","SL18-OI-7-MG1","OI","SL18-SF-17-FG3xSL18-OI-7-MG1","SL18-UCONN-198",3,1,"2","TBD","9",3,2.8,0.81,3.456790123,8.35,0.23,500,"ES","0","0"
"197","SL18-UCONN-199",197,"2019","199","GOM","199","5_29_2019","122",NA,"SL18-SF-17-FG3","SF","SL18-OI-9-MG3","OI","SL18-SF-17-FG3xSL18-OI-9-MG3","SL18-UCONN-199",3,1,"2","TBD","9",3,2.88,0.8,3.6,9.16,0.26,380,"ES","0","0"
"2","SL18-UCONN-2",2,"2019","2","GOM","2","5_31_2019","122",NA,"SA18-CB-10-FG2","CB","SL18-LL-9-MG1","LL","SA18-CB-10-FG2xSL18-LL-9-MG1","SL18-UCONN-2",1,1,"4","TBD","6",3,2.16,0.86,2.511627907,9.1,0.2,100,"ES","0","0"
"20","SL18-UCONN-20",20,"2019","20","GOM","20","5_31_2019","122",NA,"SL18-LD-1-FG2","LD","SL18-SF-13-MG3","SF","SL18-LD-1-FG2xSL18-SF-13-MG3","SL18-UCONN-20",2,1,"3","TBD","6",3,2.42,0.84,2.880952381,9.16,0.22,380,"ES","0","0"
"21","SL18-UCONN-21",21,"2019","21","GOM","21","5_30_2019","122",NA,"SL18-LD-1-FG2","LD","SL18-SF-15-MG1","SF","SL18-LD-1-FG2xSL18-SF-15-MG1","SL18-UCONN-21",2,1,"2","TBD","6",3,3.66,0.94,3.893617021,7.28,0.27,400,"ES","0","0"
"23","SL18-UCONN-23",23,"2019","23","GOM","23","5_31_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-NL-5-MG1","NL","SL18-LD-1-FG3xSL18-NL-5-MG1","SL18-UCONN-23",2,1,"4","TBD","7",2,0.97,0.92,1.054347826,10.08,0.1,180,"ES","0","0"
"24","SL18-UCONN-24",24,"2019","24","GOM","24","5_29_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-OI-11-MG2","OI","SL18-LD-1-FG3xSL18-OI-11-MG2","SL18-UCONN-24",2,1,"2","TBD","3",3,2.65,0.84,3.154761905,11.31,0.3,300,"ES","0","0"
"25","SL18-UCONN-25",25,"2019","25","GOM","25","5_30_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-OI-15-MG1","OI","SL18-LD-1-FG3xSL18-OI-15-MG1","SL18-UCONN-25",2,1,"1","TBD","6",3,1.78,0.85,2.094117647,7.79,0.14,280,"ES","0","0"
"26","SL18-UCONN-26",26,"2019","26","GOM","26","5_31_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-OI-16-MG1","OI","SL18-LD-1-FG3xSL18-OI-16-MG1","SL18-UCONN-26",2,1,"4","TBD","9",3,1.3,1,1.3,8.58,0.11,140,"ES","0","0"
"27","SL18-UCONN-27",27,"2019","27","GOM","27","5_30_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-OI-6-MG2","OI","SL18-LD-1-FG3xSL18-OI-6-MG2","SL18-UCONN-27",2,1,"1","TBD","6",3,1.57,0.78,2.012820513,10.01,0.16,80,"ES","0","0"
"28","SL18-UCONN-28",28,"2019","28","GOM","28","5_29_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-OI-7-MG1","OI","SL18-LD-1-FG3xSL18-OI-7-MG1","SL18-UCONN-28",2,1,"2","TBD","7",3,2.21,0.94,2.35106383,8.41,0.19,460,"ES","0","0"
"29","SL18-UCONN-29",29,"2019","29","GOM","29","5_30_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-OI-9-MG3","OI","SL18-LD-1-FG3xSL18-OI-9-MG3","SL18-UCONN-29",2,1,"1","TBD","7",3,2.2,0.89,2.471910112,8.96,0.2,320,"ES","0","0"
"3","SL18-UCONN-3",3,"2019","3","GOM","3","5_30_2019","122",NA,"SA18-CB-4-FG3","CB","SA18-CB-4-MG3","CB","SA18-CB-4-FG3xSA18-CB-4-MG3","SL18-UCONN-3",3,4,"1","TBD","9",3,2.68,0.96,2.791666667,8.3,0.22,160,"ES","1","1"
"30","SL18-UCONN-30",30,"2019","30","GOM","30","5_31_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-NL-9-MG2","SF","SL18-LD-1-FG3xSL18-NL-9-MG2","SL18-UCONN-30",1,1,"4","TBD","8",2,1.03,0.87,1.183908046,11,0.11,60,"ES","0","0"
"31","SL18-UCONN-31",31,"2019","31","GOM","31","5_30_2019","122",NA,"SL18-LD-1-FG3","LD","SL18-OI-15-MG2","SF","SL18-LD-1-FG3xSL18-OI-15-MG2","SL18-UCONN-31",2,1,"1","TBD","1",3,2.47,0.91,2.714285714,9.87,0.24,400,"ES","0","0"
"32","SL18-UCONN-32",32,"2019","32","GOM","32","5_29_2019","122",NA,"SL18-LD-2-FG2","LD","SA18-CB-3-MG3","CB","SL18-LD-2-FG2xSA18-CB-3-MG3","SL18-UCONN-32",2,1,"2","TBD","7",3,3.01,0.89,3.382022472,7.07,0.21,220,"ES","0","0"
"33","SL18-UCONN-33",33,"2019","33","GOM","33","5_29_2019","122",NA,"SL18-LD-2-FG2","LD","SL18-LL-9-MG2","LL","SL18-LD-2-FG2xSL18-LL-9-MG2","SL18-UCONN-33",2,1,"2","TBD","1",3,2.5,0.9,2.777777778,9.49,0.24,200,"ES","0","0"
"34","SL18-UCONN-34",34,"2019","34","GOM","34","5_31_2019","122",NA,"SL18-LD-2-FG2","LD","SL18-NL-9-MG1","NL","SL18-LD-2-FG2xSL18-NL-9-MG1","SL18-UCONN-34",2,1,"3","TBD","6",2,0.43,0.71,0.605633803,9.82,0.04,20,"ES","0","0"
"35","SL18-UCONN-35",35,"2019","35","GOM","35","5_30_2019","122",NA,"SL18-LD-2-FG2","LD","SL18-SF-19-MG1","SF","SL18-LD-2-FG2xSL18-SF-19-MG1","SL18-UCONN-35",2,1,"1","TBD","3",3,1.45,0.91,1.593406593,22.72,0.33,280,"ES","0","0"
"37","SL18-UCONN-37",37,"2019","37","GOM","37","5_31_2019","122",NA,"SL18-LD-3-FG1","LD","SL18-NL-9-MG1","NL","SL18-LD-3-FG1xSL18-NL-9-MG1","SL18-UCONN-37",1,1,"4","TBD","4",3,1.12,0.61,1.836065574,7.57,0.08,80,"ES","0","0"
"38","SL18-UCONN-38",38,"2019","38","GOM","38","5_31_2019","122",NA,"SL18-LD-3-FG1","LD","SL18-SF-19-MG2","SF","SL18-LD-3-FG1xSL18-SF-19-MG2","SL18-UCONN-38",2,1,"4","TBD","9",2,1.47,0.91,1.615384615,15.64,0.23,140,"ES","0","0"
"39","SL18-UCONN-39",39,"2019","39","GOM","39","5_30_2019","122",NA,"SL18-LD-3-FG2","LD","SA18-CB-2-MG3","CB","SL18-LD-3-FG2xSA18-CB-2-MG3","SL18-UCONN-39",2,1,"1","TBD","4",3,2.11,0.87,2.425287356,8.43,0.18,200,"ES","0","0"
"40","SL18-UCONN-40",40,"2019","40","GOM","40","5_30_2019","122",NA,"SL18-LD-3-FG2","LD","SL18-LL-9-MG2","LL","SL18-LD-3-FG2xSL18-LL-9-MG2","SL18-UCONN-40",2,1,"3","TBD","5",3,3.07,0.77,3.987012987,6.12,0.19,460,"ES","0","0"
"41","SL18-UCONN-41",41,"2019","41","GOM","41","5_29_2019","122",NA,"SL18-LD-3-FG2","LD","SL18-SF-17-MG3","SF","SL18-LD-3-FG2xSL18-SF-17-MG3","SL18-UCONN-41",2,1,"2","TBD","4",2,0.95,0.85,1.117647059,10.99,0.1,40,"ES","0","0"
"43","SL18-UCONN-43",43,"2019","43","GOM","43","5_29_2019","122",NA,"SL18-LD-4-FG1","LD","SA18-CB-2-MG1","CB","SL18-LD-4-FG1xSA18-CB-2-MG1","SL18-UCONN-43",2,1,"2","TBD","9",3,2.22,0.8,2.775,8.35,0.19,380,"ES","0","0"
